model_id,category,error_cost,n,answer_accuracy,verify_rate,unsafe_reliance,mean_regret
anthropic_sonnet5,biology,2.0,15,1.0,0.13333333333333333,,0.13333333333333333
anthropic_sonnet5,biology,5.0,15,1.0,0.13333333333333333,,0.13333333333333333
anthropic_sonnet5,biology,10.0,15,1.0,0.13333333333333333,,0.13333333333333333
anthropic_sonnet5,biology,20.0,15,1.0,0.13333333333333333,,0.13333333333333333
anthropic_sonnet5,business,2.0,14,0.7142857142857143,0.35714285714285715,0.25,0.21428571428571427
anthropic_sonnet5,business,5.0,14,0.7142857142857143,0.35714285714285715,0.25,0.42857142857142855
anthropic_sonnet5,business,10.0,14,0.7142857142857143,0.5,0.25,0.9285714285714286
anthropic_sonnet5,business,20.0,14,0.7142857142857143,0.6428571428571429,0.0,0.35714285714285715
anthropic_sonnet5,chemistry,2.0,15,0.4666666666666667,0.6,0.25,0.3333333333333333
anthropic_sonnet5,chemistry,5.0,15,0.4666666666666667,0.7333333333333333,0.125,0.5333333333333333
anthropic_sonnet5,chemistry,10.0,15,0.4666666666666667,0.7333333333333333,0.125,0.8666666666666667
anthropic_sonnet5,chemistry,20.0,15,0.4666666666666667,0.8,0.0,0.26666666666666666
anthropic_sonnet5,computer science,2.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,computer science,5.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,computer science,10.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,computer science,20.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,economics,2.0,14,0.9285714285714286,0.35714285714285715,0.0,0.2857142857142857
anthropic_sonnet5,economics,5.0,14,0.9285714285714286,0.42857142857142855,0.0,0.35714285714285715
anthropic_sonnet5,economics,10.0,14,0.9285714285714286,0.42857142857142855,0.0,0.35714285714285715
anthropic_sonnet5,economics,20.0,14,0.9285714285714286,0.42857142857142855,0.0,0.35714285714285715
anthropic_sonnet5,engineering,2.0,15,0.3333333333333333,1.0,0.0,0.3333333333333333
anthropic_sonnet5,engineering,5.0,15,0.3333333333333333,1.0,0.0,0.3333333333333333
anthropic_sonnet5,engineering,10.0,15,0.3333333333333333,1.0,0.0,0.3333333333333333
anthropic_sonnet5,engineering,20.0,15,0.3333333333333333,1.0,0.0,0.3333333333333333
anthropic_sonnet5,health,2.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,health,5.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,health,10.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,health,20.0,14,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285
anthropic_sonnet5,history,2.0,14,0.7142857142857143,0.2857142857142857,0.5,0.2857142857142857
anthropic_sonnet5,history,5.0,14,0.7142857142857143,0.35714285714285715,0.5,0.7857142857142857
anthropic_sonnet5,history,10.0,14,0.7142857142857143,0.5,0.25,0.9285714285714286
anthropic_sonnet5,history,20.0,14,0.7142857142857143,0.6428571428571429,0.25,1.7857142857142858
anthropic_sonnet5,law,2.0,14,0.7857142857142857,0.35714285714285715,0.0,0.14285714285714285
anthropic_sonnet5,law,5.0,14,0.7857142857142857,0.35714285714285715,0.0,0.14285714285714285
anthropic_sonnet5,law,10.0,14,0.7857142857142857,0.35714285714285715,0.0,0.14285714285714285
anthropic_sonnet5,law,20.0,14,0.7857142857142857,0.42857142857142855,0.0,0.21428571428571427
anthropic_sonnet5,math,2.0,14,0.42857142857142855,0.7142857142857143,0.125,0.2857142857142857
anthropic_sonnet5,math,5.0,14,0.42857142857142855,0.7142857142857143,0.125,0.5
anthropic_sonnet5,math,10.0,14,0.42857142857142855,0.7142857142857143,0.125,0.8571428571428571
anthropic_sonnet5,math,20.0,14,0.42857142857142855,0.7857142857142857,0.125,1.6428571428571428
anthropic_sonnet5,other,2.0,15,0.7333333333333333,0.4,0.25,0.26666666666666666
anthropic_sonnet5,other,5.0,15,0.7333333333333333,0.4666666666666667,0.25,0.5333333333333333
anthropic_sonnet5,other,10.0,15,0.7333333333333333,0.4666666666666667,0.25,0.8666666666666667
anthropic_sonnet5,other,20.0,15,0.7333333333333333,0.6,0.25,1.6666666666666667
anthropic_sonnet5,philosophy,2.0,14,0.8571428571428571,0.5,0.5,0.5
anthropic_sonnet5,philosophy,5.0,14,0.8571428571428571,0.5,0.5,0.7142857142857143
anthropic_sonnet5,philosophy,10.0,14,0.8571428571428571,0.5,0.5,1.0714285714285714
anthropic_sonnet5,philosophy,20.0,14,0.8571428571428571,0.5714285714285714,0.5,1.8571428571428572
anthropic_sonnet5,physics,2.0,14,0.7142857142857143,0.5,0.25,0.35714285714285715
anthropic_sonnet5,physics,5.0,14,0.7142857142857143,0.5,0.25,0.5714285714285714
anthropic_sonnet5,physics,10.0,14,0.7142857142857143,0.5714285714285714,0.25,1.0
anthropic_sonnet5,physics,20.0,14,0.7142857142857143,0.6428571428571429,0.25,1.7857142857142858
anthropic_sonnet5,psychology,2.0,14,0.9285714285714286,0.14285714285714285,0.0,0.07142857142857142
anthropic_sonnet5,psychology,5.0,14,0.9285714285714286,0.14285714285714285,0.0,0.07142857142857142
anthropic_sonnet5,psychology,10.0,14,0.9285714285714286,0.14285714285714285,0.0,0.07142857142857142
anthropic_sonnet5,psychology,20.0,14,0.9285714285714286,0.14285714285714285,0.0,0.07142857142857142
openai_gpt56_sol,biology,2.0,15,1.0,0.0,,0.0
openai_gpt56_sol,biology,5.0,15,1.0,0.0,,0.0
openai_gpt56_sol,biology,10.0,15,1.0,0.0,,0.0
openai_gpt56_sol,biology,20.0,15,1.0,0.0,,0.0
