model_id,policy,error_cost,comparison_scope,n,n_questions,mean_cost,mean_cost_ci_lower,mean_cost_ci_upper,regret,regret_ci_lower,regret_ci_upper,unsafe_reliance,unsafe_reliance_ci_lower,unsafe_reliance_ci_upper,verification_burden,verification_burden_ci_lower,verification_burden_ci_upper
anthropic_sonnet5,always_rely,2.0,evaluation,160,160,0.55,0.4125,0.6875,0.275,0.20625,0.34375,1.0,1.0,1.0,0.0,0.0,0.0
anthropic_sonnet5,always_rely,5.0,evaluation,160,160,1.375,1.03125,1.71875,1.1,0.825,1.375,1.0,1.0,1.0,0.0,0.0,0.0
anthropic_sonnet5,always_rely,10.0,evaluation,160,160,2.75,2.0625,3.4375,2.475,1.85625,3.09375,1.0,1.0,1.0,0.0,0.0,0.0
anthropic_sonnet5,always_rely,20.0,evaluation,160,160,5.5,4.125,6.875,5.225,3.91875,6.53125,1.0,1.0,1.0,0.0,0.0,0.0
anthropic_sonnet5,always_verify,2.0,evaluation,160,160,1.0,1.0,1.0,0.725,0.65625,0.79375,0.0,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet5,always_verify,5.0,evaluation,160,160,1.0,1.0,1.0,0.725,0.65625,0.79375,0.0,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet5,always_verify,10.0,evaluation,160,160,1.0,1.0,1.0,0.725,0.65625,0.79375,0.0,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet5,always_verify,20.0,evaluation,160,160,1.0,1.0,1.0,0.725,0.65625,0.79375,0.0,0.0,0.0,1.0,1.0,1.0
anthropic_sonnet5,calibrated_confidence,2.0,evaluation,160,160,0.525,0.4,0.65625,0.25,0.18125,0.31875,0.7727272727272727,0.6363636363636364,0.8863636363636364,0.1,0.05625,0.15
anthropic_sonnet5,calibrated_confidence,5.0,evaluation,160,160,0.94375,0.7375,1.16875,0.66875,0.49375,0.85625,0.3409090909090909,0.20454545454545456,0.4772727272727273,0.475,0.4,0.5501562499999978
anthropic_sonnet5,calibrated_confidence,10.0,evaluation,160,160,1.4125,1.0,1.86875,1.1375,0.7625,1.55,0.3409090909090909,0.20454545454545456,0.4772727272727273,0.475,0.4,0.5501562499999978
anthropic_sonnet5,calibrated_confidence,20.0,evaluation,160,160,0.8625,0.80625,0.9125,0.5875,0.5125,0.66875,0.0,0.0,0.0,0.8625,0.80625,0.9125
anthropic_sonnet5,direct,2.0,evaluation,160,160,0.525,0.4375,0.61875,0.25,0.18734375000000067,0.31875,0.18181818181818182,0.06818181818181818,0.29545454545454547,0.425,0.35,0.5
anthropic_sonnet5,direct,5.0,evaluation,160,160,0.6625,0.5125,0.83125,0.3875,0.2625,0.525,0.1590909090909091,0.06818181818181818,0.2727272727272727,0.44375,0.36875,0.51875
anthropic_sonnet5,direct,10.0,evaluation,160,160,0.89375,0.6,1.23125,0.61875,0.35625,0.91875,0.1590909090909091,0.06818181818181818,0.2727272727272727,0.45625,0.38125,0.53125
anthropic_sonnet5,direct,20.0,evaluation,160,160,1.1375,0.66875,1.71875,0.8625,0.40625,1.4375,0.11363636363636363,0.022727272727272728,0.20454545454545456,0.5125,0.4375,0.5875
anthropic_sonnet5,oracle,2.0,evaluation,160,160,0.275,0.20625,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.20625,0.34375
anthropic_sonnet5,oracle,5.0,evaluation,160,160,0.275,0.20625,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.20625,0.34375
anthropic_sonnet5,oracle,10.0,evaluation,160,160,0.275,0.20625,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.20625,0.34375
anthropic_sonnet5,oracle,20.0,evaluation,160,160,0.275,0.20625,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.20625,0.34375
anthropic_sonnet5,raw_confidence,2.0,evaluation,160,160,0.5125,0.3875,0.64375,0.2375,0.175,0.30625,0.7727272727272727,0.6363636363636364,0.8863636363636364,0.0875,0.04375,0.13125
anthropic_sonnet5,raw_confidence,5.0,evaluation,160,160,0.96875,0.775,1.1689062499999976,0.69375,0.53125,0.8625,0.29545454545454547,0.1590909090909091,0.4318181818181818,0.5625,0.4875,0.6375
anthropic_sonnet5,raw_confidence,10.0,evaluation,160,160,0.9125,0.76875,1.100156249999998,0.6375,0.49375,0.825,0.045454545454545456,0.0,0.11363636363636363,0.7875,0.725,0.85
anthropic_sonnet5,raw_confidence,20.0,evaluation,160,160,0.95,0.9125,0.98125,0.675,0.6,0.75,0.0,0.0,0.0,0.95,0.9125,0.98125
openai_gpt56_sol,always_rely,2.0,evaluation,160,160,0.3375,0.225,0.45,0.16875,0.1125,0.225,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,always_rely,5.0,evaluation,160,160,0.84375,0.5625,1.125,0.675,0.45,0.9,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,always_rely,10.0,evaluation,160,160,1.6875,1.125,2.25,1.51875,1.0125,2.025,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,always_rely,20.0,evaluation,160,160,3.375,2.25,4.5,3.20625,2.1375,4.275,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,always_verify,2.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,always_verify,5.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,always_verify,10.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,always_verify,20.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,calibrated_confidence,2.0,evaluation,160,160,0.3375,0.225,0.45,0.16875,0.1125,0.225,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,calibrated_confidence,5.0,evaluation,160,160,0.84375,0.5625,1.125,0.675,0.45,0.9,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,calibrated_confidence,10.0,evaluation,160,160,0.96875,0.9375,0.99375,0.8,0.7375,0.8625,0.0,0.0,0.0,0.96875,0.9375,0.99375
