ci_lower,ci_upper,decision_owner,error_cost,estimate,model_id,n_questions,n_valid_resamples,prompt_family
0.17,0.244,ai_system,10.0,0.206,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.122,0.188,ai_system,2.0,0.154,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.188,0.26,ai_system,20.0,0.224,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.166,0.238,ai_system,5.0,0.202,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.166,0.24,human,10.0,0.202,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.094,0.162,human,2.0,0.128,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.184,0.26,human,20.0,0.222,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.144,0.212,human,5.0,0.178,anthropic_sonnet5,500,5000,v2_owner_match_v1
0.1,0.162,ai_system,10.0,0.13,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.038,-0.002,ai_system,2.0,-0.02,google_gemini38_flash,500,5000,v2_owner_match_v1
0.13,0.198,ai_system,20.0,0.164,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.04,0.0,ai_system,5.0,-0.02,google_gemini38_flash,500,5000,v2_owner_match_v1
0.096,0.154,human,10.0,0.124,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.042,-0.004,human,2.0,-0.022,google_gemini38_flash,500,5000,v2_owner_match_v1
0.134,0.2,human,20.0,0.166,google_gemini38_flash,500,5000,v2_owner_match_v1
-4.9999999999783995e-05,0.042,human,5.0,0.02,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.24,-0.162,ai_system,10.0,-0.2,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.222,-0.15,ai_system,2.0,-0.186,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.208,-0.126,ai_system,20.0,-0.166,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.246,-0.17,ai_system,5.0,-0.208,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.244,-0.164,human,10.0,-0.204,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.216,-0.148,human,2.0,-0.18,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.208,-0.118,human,20.0,-0.162,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.236,-0.166,human,5.0,-0.2,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.144,-0.082,ai_system,10.0,-0.112,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.158,-0.09,ai_system,2.0,-0.124,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.116,-0.056,ai_system,20.0,-0.086,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.14,-0.076,ai_system,5.0,-0.106,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.164,-0.102,human,10.0,-0.132,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.198,-0.13,human,2.0,-0.164,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.156,-0.096,human,20.0,-0.126,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.176,-0.108,human,5.0,-0.142,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
