confidence_visibility,correct_n,decision_owner,direct_vs_raw_disagreement_rate,error_cost,mean_realized_cost,mean_regret,model_id,n,prompt_family,unnecessary_verification_rate,unsafe_unverified_rate,verify_rate,wrong_n
hidden,371,ai_system,0.244,10.0,0.884,0.626,anthropic_sonnet5,500,v2_owner_match_v1,0.4797843665768194,0.11627906976744186,0.584,129
hidden,371,ai_system,0.436,2.0,0.588,0.33,anthropic_sonnet5,500,v2_owner_match_v1,0.39622641509433965,0.13953488372093023,0.516,129
hidden,371,ai_system,0.308,20.0,1.006,0.748,anthropic_sonnet5,500,v2_owner_match_v1,0.5471698113207547,0.06976744186046512,0.646,129
hidden,371,ai_system,0.232,5.0,0.71,0.452,anthropic_sonnet5,500,v2_owner_match_v1,0.4474393530997305,0.11627906976744186,0.56,129
visible,371,ai_system,0.078,10.0,0.81,0.552,anthropic_sonnet5,500,v2_owner_match_v1,0.7196765498652291,0.007751937984496124,0.79,129
visible,371,ai_system,0.59,2.0,0.698,0.44,anthropic_sonnet5,500,v2_owner_match_v1,0.5741239892183289,0.05426356589147287,0.67,129
visible,371,ai_system,0.1,20.0,0.91,0.652,anthropic_sonnet5,500,v2_owner_match_v1,0.8274932614555256,0.007751937984496124,0.87,129
visible,371,ai_system,0.198,5.0,0.802,0.544,anthropic_sonnet5,500,v2_owner_match_v1,0.6900269541778976,0.031007751937984496,0.762,129
hidden,371,human,0.276,10.0,0.884,0.626,anthropic_sonnet5,500,v2_owner_match_v1,0.431266846361186,0.13178294573643412,0.544,129
hidden,371,human,0.424,2.0,0.572,0.314,anthropic_sonnet5,500,v2_owner_match_v1,0.37735849056603776,0.13178294573643412,0.504,129
hidden,371,human,0.36,20.0,1.158,0.9,anthropic_sonnet5,500,v2_owner_match_v1,0.49595687331536387,0.10852713178294573,0.598,129
hidden,371,human,0.226,5.0,0.706,0.448,anthropic_sonnet5,500,v2_owner_match_v1,0.431266846361186,0.12403100775193798,0.546,129
