ci_lower,ci_upper,error_cost,estimate,model_id,n_questions,n_valid_resamples,prompt_family
-0.024,0.032,10.0,0.004,anthropic_sonnet5,500,5000,v2_owner_match_v1
-0.002,0.054,2.0,0.026,anthropic_sonnet5,500,5000,v2_owner_match_v1
-0.028,0.032,20.0,0.002,anthropic_sonnet5,500,5000,v2_owner_match_v1
-0.004,0.052,5.0,0.024,anthropic_sonnet5,500,5000,v2_owner_match_v1
-0.014,0.028,10.0,0.006,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.016,0.02,2.0,0.002,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.026,0.022,20.0,-0.002,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.066,-0.014,5.0,-0.04,google_gemini38_flash,500,5000,v2_owner_match_v1
-0.032,0.04,10.0,0.004,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.034,0.024,2.0,-0.006,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.038,0.032,20.0,-0.004,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.044,0.026,5.0,-0.008,openai_gpt56_sol,500,5000,v2_owner_match_v1
-0.016,0.056,10.0,0.02,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
0.0,0.082,2.0,0.04,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
0.002,0.078,20.0,0.04,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
-0.006,0.078,5.0,0.036,xai_grok420_nonreasoning,500,5000,v2_owner_match_v1
