confidence_visibility,error_cost,model_id,owner_effect_ci_lower,owner_effect_ci_upper,owner_effect_estimate,owner_effect_n_questions,owner_effect_n_valid_resamples,paired_disagreement,paired_disagreement_ci_lower,paired_disagreement_ci_upper,prompt_family,unsafe_owner_gap,unsafe_owner_gap_ci_lower,unsafe_owner_gap_ci_upper,wrong_pair_n
hidden,10.0,anthropic_sonnet5,0.0,0.07,0.035,200,5000,0.065,0.035,0.1,v2_owner_match_v1,0.018867924528301886,-0.03773584905660377,0.09433962264150944,53
hidden,2.0,anthropic_sonnet5,-0.035175879396984924,0.04522613065326633,0.005025125628140704,199,5000,0.08542713567839195,0.05025125628140704,0.12562814070351758,v2_owner_match_v1,-0.019230769230769232,-0.09615384615384616,0.038461538461538464,52
hidden,20.0,anthropic_sonnet5,0.015,0.07,0.04,200,5000,0.04,0.015,0.07,v2_owner_match_v1,0.018867924528301886,0.0,0.05660377358490566,53
hidden,5.0,anthropic_sonnet5,0.0,0.08,0.04,200,5000,0.08,0.045,0.12,v2_owner_match_v1,0.03773584905660377,-0.03773584905660377,0.11320754716981132,53
visible,10.0,anthropic_sonnet5,0.04,0.115,0.075,200,5000,0.075,0.04,0.11,v2_owner_match_v1,0.03773584905660377,0.0,0.09433962264150944,53
visible,2.0,anthropic_sonnet5,0.01,0.065,0.035,200,5000,0.045,0.02,0.075,v2_owner_match_v1,0.0,0.0,0.0,53
visible,20.0,anthropic_sonnet5,0.01,0.07,0.04,200,5000,0.05,0.025,0.085,v2_owner_match_v1,0.0,0.0,0.0,53
visible,5.0,anthropic_sonnet5,0.015,0.07,0.04,200,5000,0.04,0.015,0.07,v2_owner_match_v1,0.018867924528301886,0.0,0.05660377358490566,53
hidden,10.0,google_gemini38_flash,-0.035,0.015,-0.01,200,5000,0.03,0.01,0.055,v2_owner_match_v1,-0.09523809523809523,-0.23809523809523808,0.0,21
hidden,2.0,google_gemini38_flash,-0.04,0.005,-0.015,200,5000,0.025,0.005,0.05,v2_owner_match_v1,0.0,-0.14285714285714285,0.14285714285714285,21
hidden,20.0,google_gemini38_flash,-0.01,0.03,0.01,200,5000,0.02,0.005,0.04,v2_owner_match_v1,-0.047619047619047616,-0.14285714285714285,0.0,21
hidden,5.0,google_gemini38_flash,-0.005,0.05,0.02,200,5000,0.04,0.015,0.07,v2_owner_match_v1,0.09523809523809523,-0.09523809523809523,0.2857142857142857,21
visible,10.0,google_gemini38_flash,0.0,0.025,0.01,200,5000,0.01,0.0,0.025,v2_owner_match_v1,0.0,0.0,0.0,21
visible,2.0,google_gemini38_flash,-0.025,0.0,-0.01,200,5000,0.01,0.0,0.025,v2_owner_match_v1,0.0,0.0,0.0,21
visible,20.0,google_gemini38_flash,0.0,0.05,0.025,200,5000,0.035,0.01,0.06,v2_owner_match_v1,0.047619047619047616,0.0,0.14285714285714285,21
visible,5.0,google_gemini38_flash,-0.025,0.0,-0.01,200,5000,0.01,0.0,0.025,v2_owner_match_v1,0.0,0.0,0.0,21
hidden,10.0,openai_gpt56_sol,-0.08,0.02,-0.03,200,5000,0.14,0.095,0.19,v2_owner_match_v1,-0.03225806451612903,-0.16129032258064513,0.0967741935483871,31
hidden,2.0,openai_gpt56_sol,-0.005,0.065,0.03,200,5000,0.06,0.03,0.095,v2_owner_match_v1,0.03225806451612903,-0.06451612903225806,0.16129032258064516,31
hidden,20.0,openai_gpt56_sol,-0.055,0.045,-0.005,200,5000,0.125,0.08,0.175,v2_owner_match_v1,0.06451612903225806,0.0,0.16129032258064516,31
hidden,5.0,openai_gpt56_sol,-0.065,0.035,-0.015,200,5000,0.125,0.08,0.175,v2_owner_match_v1,0.0967741935483871,-0.03225806451612903,0.22580645161290322,31
visible,10.0,openai_gpt56_sol,0.0,0.015,0.005,200,5000,0.005,0.0,0.015,v2_owner_match_v1,0.03225806451612903,0.0,0.0967741935483871,31
visible,2.0,openai_gpt56_sol,-0.015,0.0,-0.005,200,5000,0.005,0.0,0.015,v2_owner_match_v1,0.0,0.0,0.0,31
visible,20.0,openai_gpt56_sol,-0.015,0.035,0.01,200,5000,0.03,0.01,0.055,v2_owner_match_v1,0.06451612903225806,0.0,0.16129032258064516,31
visible,5.0,openai_gpt56_sol,0.0,0.0,0.0,200,5000,0.0,0.0,0.0,v2_owner_match_v1,0.0,0.0,0.0,31
