confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,ai_system,10.0,2.58,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,0.86,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.884,anthropic_sonnet5,500,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
hidden,ai_system,10.0,0.896,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.516,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.51,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.588,anthropic_sonnet5,500,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.492,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,5.16,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.885,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.006,anthropic_sonnet5,500,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
hidden,ai_system,20.0,0.946,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,5.0,1.29,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,5.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
hidden,ai_system,5.0,0.8675,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.71,anthropic_sonnet5,500,direct,v2_owner_match_v1
hidden,ai_system,5.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
hidden,ai_system,5.0,0.844,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,ai_system,10.0,2.58,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,10.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,ai_system,10.0,0.86,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,10.0,0.81,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,ai_system,10.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,ai_system,10.0,0.896,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.516,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,2.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,ai_system,2.0,0.51,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.698,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,ai_system,2.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,ai_system,2.0,0.492,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,ai_system,20.0,5.16,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,20.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,ai_system,20.0,0.885,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,20.0,0.91,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,ai_system,20.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,ai_system,20.0,0.946,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,ai_system,5.0,1.29,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,5.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,ai_system,5.0,0.8675,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.802,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,ai_system,5.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,ai_system,5.0,0.844,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
hidden,human,10.0,2.58,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
hidden,human,10.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
hidden,human,10.0,0.86,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,human,10.0,0.884,anthropic_sonnet5,500,direct,v2_owner_match_v1
