difference_ci_lower,difference_ci_upper,difference_estimate,error_cost,model_id,n_questions,paraphrase_ci_lower,paraphrase_ci_upper,paraphrase_estimate,paraphrase_sign,primary_ci_lower,primary_ci_upper,primary_estimate,primary_sign,qualitative_sign_match,robustness_scope
-0.12,0.05,-0.03,10.0,anthropic_sonnet5,100,-0.01,0.11,0.05,positive,0.02,0.14,0.08,positive,True,preregistered_hidden_owner
-0.02,0.15,0.06,2.0,anthropic_sonnet5,100,-0.01,0.1,0.04,positive,-0.07,0.03,-0.02,negative,False,preregistered_hidden_owner
-0.11,0.02024999999999636,-0.04,20.0,anthropic_sonnet5,100,0.01,0.13,0.07,positive,0.05,0.17,0.11,positive,True,preregistered_hidden_owner
-0.08,0.09,0.01,5.0,anthropic_sonnet5,100,-0.02,0.1,0.04,positive,-0.02,0.09,0.03,positive,True,preregistered_hidden_owner
-0.06,0.06,0.0,10.0,google_gemini38_flash,100,-0.02,0.06,0.02,positive,-0.02,0.06,0.02,positive,True,preregistered_hidden_owner
-0.07,0.0,-0.03,2.0,google_gemini38_flash,100,-0.06,0.02,-0.02,negative,-0.03,0.06,0.01,positive,False,preregistered_hidden_owner
-0.16,-0.03,-0.09,20.0,google_gemini38_flash,100,-0.07,0.03,-0.02,negative,0.02,0.13,0.07,positive,False,preregistered_hidden_owner
-0.08,0.02,-0.03,5.0,google_gemini38_flash,100,-0.01,0.08,0.03,positive,0.01,0.12,0.06,positive,True,preregistered_hidden_owner
-0.13,0.1,-0.01,10.0,openai_gpt56_sol,100,-0.04,0.11,0.03,positive,-0.03,0.11,0.04,positive,True,preregistered_hidden_owner
-0.12,0.06,-0.03,2.0,openai_gpt56_sol,100,-0.05,0.05,0.0,zero,-0.03,0.09,0.03,positive,False,preregistered_hidden_owner
-0.07,0.15,0.04,20.0,openai_gpt56_sol,100,-0.07,0.11,0.02,positive,-0.09,0.05,-0.02,negative,False,preregistered_hidden_owner
-0.1,0.08,-0.01,5.0,openai_gpt56_sol,100,-0.08,0.06,-0.01,negative,-0.06,0.06,0.0,zero,False,preregistered_hidden_owner
-0.1,0.03,-0.03,10.0,xai_grok420_nonreasoning,100,-0.09,0.01,-0.04,negative,-0.05,0.02,-0.01,negative,True,preregistered_hidden_owner
-0.06,0.04,-0.01,2.0,xai_grok420_nonreasoning,100,-0.11,-0.02,-0.06,negative,-0.1,0.0,-0.05,negative,True,preregistered_hidden_owner
-0.1,0.04,-0.03,20.0,xai_grok420_nonreasoning,100,-0.09,0.01,-0.04,negative,-0.06,0.03,-0.01,negative,True,preregistered_hidden_owner
0.0,0.09,0.04,5.0,xai_grok420_nonreasoning,100,-0.04,0.04,0.0,zero,-0.1,0.01,-0.04,negative,False,preregistered_hidden_owner
