confidence_visibility,correct_n,decision_owner,direct_vs_raw_disagreement_rate,error_cost,mean_realized_cost,mean_regret,model_id,n,prompt_family,unnecessary_verification_rate,unsafe_unverified_rate,verify_rate,wrong_n
hidden,147,ai_system,0.255,10.0,0.88,0.615,anthropic_sonnet5,200,v2_owner_match_v1,0.46938775510204084,0.11320754716981132,0.58,53
hidden,147,ai_system,0.435,2.0,0.58,0.315,anthropic_sonnet5,200,v2_owner_match_v1,0.38095238095238093,0.1320754716981132,0.51,53
hidden,147,ai_system,0.335,20.0,1.14,0.875,anthropic_sonnet5,200,v2_owner_match_v1,0.54421768707483,0.09433962264150944,0.64,53
hidden,147,ai_system,0.255,5.0,0.715,0.45,anthropic_sonnet5,200,v2_owner_match_v1,0.4489795918367347,0.11320754716981132,0.565,53
visible,147,ai_system,0.075,10.0,0.88,0.615,anthropic_sonnet5,200,v2_owner_match_v1,0.7755102040816326,0.018867924528301886,0.83,53
visible,147,ai_system,0.6,2.0,0.715,0.45,anthropic_sonnet5,200,v2_owner_match_v1,0.5850340136054422,0.07547169811320754,0.675,53
visible,147,ai_system,0.095,20.0,0.99,0.725,anthropic_sonnet5,200,v2_owner_match_v1,0.8571428571428571,0.018867924528301886,0.89,53
visible,147,ai_system,0.225,5.0,0.835,0.57,anthropic_sonnet5,200,v2_owner_match_v1,0.7210884353741497,0.03773584905660377,0.785,53
hidden,147,human,0.28,10.0,0.895,0.63,anthropic_sonnet5,200,v2_owner_match_v1,0.42857142857142855,0.1320754716981132,0.545,53
hidden,147,human,0.4271356783919598,2.0,0.5628140703517588,0.3015075376884422,anthropic_sonnet5,199,v2_owner_match_v1,0.3673469387755102,0.11538461538461539,0.5025125628140703,52
hidden,147,human,0.375,20.0,1.2,0.935,anthropic_sonnet5,200,v2_owner_match_v1,0.4965986394557823,0.11320754716981132,0.6,53
hidden,147,human,0.255,5.0,0.725,0.46,anthropic_sonnet5,200,v2_owner_match_v1,0.40816326530612246,0.1509433962264151,0.525,53
visible,147,human,0.08,10.0,0.905,0.64,anthropic_sonnet5,200,v2_owner_match_v1,0.6870748299319728,0.05660377358490566,0.755,53
visible,147,human,0.565,2.0,0.68,0.415,anthropic_sonnet5,200,v2_owner_match_v1,0.5374149659863946,0.07547169811320754,0.64,53
visible,147,human,0.115,20.0,0.95,0.685,anthropic_sonnet5,200,v2_owner_match_v1,0.8027210884353742,0.018867924528301886,0.85,53
visible,147,human,0.185,5.0,0.82,0.555,anthropic_sonnet5,200,v2_owner_match_v1,0.673469387755102,0.05660377358490566,0.745,53
hidden,179,ai_system,0.115,10.0,0.685,0.58,google_gemini38_flash,200,v2_owner_match_v1,0.0446927374301676,0.5714285714285714,0.085,21
hidden,179,ai_system,0.045,2.0,0.195,0.09,google_gemini38_flash,200,v2_owner_match_v1,0.0223463687150838,0.6666666666666666,0.055,21
hidden,179,ai_system,0.365,20.0,1.395,1.29,google_gemini38_flash,200,v2_owner_match_v1,0.061452513966480445,0.6190476190476191,0.095,21
hidden,179,ai_system,0.035,5.0,0.37,0.265,google_gemini38_flash,200,v2_owner_match_v1,0.05027932960893855,0.5238095238095238,0.095,21
visible,179,ai_system,0.015,10.0,0.585,0.48,google_gemini38_flash,200,v2_owner_match_v1,0.1340782122905028,0.38095238095238093,0.185,21
visible,179,ai_system,0.0,2.0,0.18,0.075,google_gemini38_flash,200,v2_owner_match_v1,0.00558659217877095,0.6666666666666666,0.04,21
visible,179,ai_system,0.205,20.0,0.845,0.74,google_gemini38_flash,200,v2_owner_match_v1,0.18994413407821228,0.2857142857142857,0.245,21
visible,179,ai_system,0.005,5.0,0.4,0.295,google_gemini38_flash,200,v2_owner_match_v1,0.03910614525139665,0.6190476190476191,0.075,21
hidden,179,human,0.095,10.0,0.595,0.49,google_gemini38_flash,200,v2_owner_match_v1,0.0446927374301676,0.47619047619047616,0.095,21
hidden,179,human,0.06,2.0,0.21,0.105,google_gemini38_flash,200,v2_owner_match_v1,0.03910614525139665,0.6666666666666666,0.07,21
hidden,179,human,0.365,20.0,1.285,1.18,google_gemini38_flash,200,v2_owner_match_v1,0.0446927374301676,0.5714285714285714,0.085,21
hidden,179,human,0.025,5.0,0.4,0.295,google_gemini38_flash,200,v2_owner_match_v1,0.03910614525139665,0.6190476190476191,0.075,21
visible,179,human,0.005,10.0,0.575,0.47,google_gemini38_flash,200,v2_owner_match_v1,0.12290502793296089,0.38095238095238093,0.175,21
visible,179,human,0.01,2.0,0.19,0.085,google_gemini38_flash,200,v2_owner_match_v1,0.01675977653631285,0.6666666666666666,0.05,21
visible,179,human,0.23,20.0,0.92,0.815,google_gemini38_flash,200,v2_owner_match_v1,0.16759776536312848,0.3333333333333333,0.22,21
visible,179,human,0.015,5.0,0.41,0.305,google_gemini38_flash,200,v2_owner_match_v1,0.05027932960893855,0.6190476190476191,0.085,21
hidden,169,ai_system,0.2,10.0,0.925,0.77,openai_gpt56_sol,200,v2_owner_match_v1,0.27218934911242604,0.3870967741935484,0.325,31
hidden,169,ai_system,0.19,2.0,0.37,0.215,openai_gpt56_sol,200,v2_owner_match_v1,0.16568047337278108,0.4838709677419355,0.22,31
hidden,169,ai_system,0.205,20.0,1.15,0.995,openai_gpt56_sol,200,v2_owner_match_v1,0.2781065088757396,0.25806451612903225,0.35,31
hidden,169,ai_system,0.17,5.0,0.51,0.355,openai_gpt56_sol,200,v2_owner_match_v1,0.1834319526627219,0.3225806451612903,0.26,31
visible,169,ai_system,0.005,10.0,1.1,0.945,openai_gpt56_sol,200,v2_owner_match_v1,0.10650887573964497,0.6129032258064516,0.15,31
visible,169,ai_system,0.0,2.0,0.32,0.165,openai_gpt56_sol,200,v2_owner_match_v1,0.03550295857988166,0.8709677419354839,0.05,31
visible,169,ai_system,0.01,20.0,1.805,1.65,openai_gpt56_sol,200,v2_owner_match_v1,0.15384615384615385,0.5161290322580645,0.205,31
visible,169,ai_system,0.0,5.0,0.7,0.545,openai_gpt56_sol,200,v2_owner_match_v1,0.07692307692307693,0.7741935483870968,0.1,31
hidden,169,human,0.24,10.0,0.905,0.75,openai_gpt56_sol,200,v2_owner_match_v1,0.30177514792899407,0.3548387096774194,0.355,31
hidden,169,human,0.16,2.0,0.35,0.195,openai_gpt56_sol,200,v2_owner_match_v1,0.13609467455621302,0.5161290322580645,0.19,31
hidden,169,human,0.23,20.0,1.355,1.2,openai_gpt56_sol,200,v2_owner_match_v1,0.2958579881656805,0.3225806451612903,0.355,31
hidden,169,human,0.175,5.0,0.6,0.445,openai_gpt56_sol,200,v2_owner_match_v1,0.21893491124260356,0.41935483870967744,0.275,31
visible,169,human,0.0,10.0,1.145,0.99,openai_gpt56_sol,200,v2_owner_match_v1,0.10650887573964497,0.6451612903225806,0.145,31
visible,169,human,0.005,2.0,0.325,0.17,openai_gpt56_sol,200,v2_owner_match_v1,0.04142011834319527,0.8709677419354839,0.055,31
visible,169,human,0.02,20.0,1.995,1.84,openai_gpt56_sol,200,v2_owner_match_v1,0.15384615384615385,0.5806451612903226,0.195,31
visible,169,human,0.0,5.0,0.7,0.545,openai_gpt56_sol,200,v2_owner_match_v1,0.07692307692307693,0.7741935483870968,0.1,31
hidden,130,ai_system,0.055,10.0,1.01,0.66,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9461538461538461,0.014285714285714285,0.96,70
hidden,130,ai_system,0.63,2.0,0.96,0.61,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9230769230769231,0.02857142857142857,0.94,70
hidden,130,ai_system,0.045,20.0,1.055,0.705,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9384615384615385,0.014285714285714285,0.955,70
hidden,130,ai_system,0.3,5.0,0.99,0.64,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9538461538461539,0.014285714285714285,0.965,70
visible,130,ai_system,0.16,10.0,1.185,0.835,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8,0.1,0.835,70
visible,130,ai_system,0.56,2.0,0.94,0.59,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.823076923076923,0.15714285714285714,0.83,70
visible,130,ai_system,0.115,20.0,1.285,0.935,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8538461538461538,0.05714285714285714,0.885,70
visible,130,ai_system,0.285,5.0,1.035,0.685,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8384615384615385,0.1,0.86,70
hidden,130,human,0.05,10.0,0.975,0.625,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9615384615384616,0.0,0.975,70
hidden,130,human,0.65,2.0,0.96,0.61,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9384615384615385,0.0,0.96,70
hidden,130,human,0.04,20.0,0.96,0.61,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9384615384615385,0.0,0.96,70
hidden,130,human,0.3,5.0,0.965,0.615,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.9461538461538461,0.0,0.965,70
visible,130,human,0.115,10.0,1.07,0.72,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8307692307692308,0.05714285714285714,0.87,70
visible,130,human,0.58,2.0,0.93,0.58,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8076923076923077,0.15714285714285714,0.82,70
visible,130,human,0.125,20.0,1.175,0.825,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.8307692307692308,0.04285714285714286,0.875,70
visible,130,human,0.22,5.0,1.0,0.65,xai_grok420_nonreasoning,200,v2_owner_match_v1,0.7846153846153846,0.1,0.825,70
