confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,ai_system,10.0,2.65,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,1.4125,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.88,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,ai_system,10.0,0.925,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.53,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.525,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.58,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.495,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,5.3,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.8625,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.14,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,ai_system,20.0,0.955,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,5.0,1.325,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,5.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,ai_system,5.0,0.94375,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.715,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,ai_system,5.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,ai_system,5.0,0.91,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,ai_system,10.0,2.65,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,10.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,ai_system,10.0,1.4125,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,10.0,0.88,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,ai_system,10.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,ai_system,10.0,0.925,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.53,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,2.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,ai_system,2.0,0.525,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.715,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,ai_system,2.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,ai_system,2.0,0.495,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,ai_system,20.0,5.3,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,20.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,ai_system,20.0,0.8625,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,20.0,0.99,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,ai_system,20.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,ai_system,20.0,0.955,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,ai_system,5.0,1.325,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,5.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,ai_system,5.0,0.94375,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.835,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,ai_system,5.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,ai_system,5.0,0.91,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,human,10.0,2.65,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,human,10.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,human,10.0,1.4125,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,human,10.0,0.895,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,human,10.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,human,10.0,0.925,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,human,2.0,0.5226130653266332,anthropic_sonnet5,199,always_use_unverified,v2_owner_match_v1
hidden,human,2.0,1.0,anthropic_sonnet5,199,always_verify,v2_owner_match_v1
hidden,human,2.0,0.5157232704402516,anthropic_sonnet5,159,calibrated_confidence,v2_owner_match_v1
hidden,human,2.0,0.5628140703517588,anthropic_sonnet5,199,direct,v2_owner_match_v1
hidden,human,2.0,0.2613065326633166,anthropic_sonnet5,199,oracle,v2_owner_match_v1
hidden,human,2.0,0.48743718592964824,anthropic_sonnet5,199,raw_confidence,v2_owner_match_v1
hidden,human,20.0,5.3,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,human,20.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,human,20.0,0.8625,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,human,20.0,1.2,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,human,20.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,human,20.0,0.955,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
hidden,human,5.0,1.325,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
hidden,human,5.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
hidden,human,5.0,0.94375,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.725,anthropic_sonnet5,200,direct,v2_owner_match_v1
hidden,human,5.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
hidden,human,5.0,0.91,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,human,10.0,2.65,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,human,10.0,1.4125,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,0.905,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,human,10.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,human,10.0,0.925,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,human,2.0,0.53,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,human,2.0,0.525,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.68,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,human,2.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,human,2.0,0.495,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,human,20.0,5.3,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,anthropic_sonnet5,200,always_verify,v2_owner_match_v1
visible,human,20.0,0.8625,anthropic_sonnet5,160,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,0.95,anthropic_sonnet5,200,direct,v2_owner_match_v1
visible,human,20.0,0.265,anthropic_sonnet5,200,oracle,v2_owner_match_v1
visible,human,20.0,0.955,anthropic_sonnet5,200,raw_confidence,v2_owner_match_v1
visible,human,5.0,1.325,anthropic_sonnet5,200,always_use_unverified,v2_owner_match_v1
