model_alias,model_label,L,displayed_confidence,condition,n,verification_rate,ci_lower,ci_upper,mechanical_rule_rate,threshold,seed
openai_gpt56_sol,GPT,10.0,0.8,manipulated,100,1.0,1.0,1.0,1,0.9,20260917
openai_gpt56_sol,GPT,10.0,0.88,manipulated,100,1.0,1.0,1.0,1,0.9,20260917
openai_gpt56_sol,GPT,10.0,0.89,manipulated,100,1.0,1.0,1.0,1,0.9,20260917
openai_gpt56_sol,GPT,10.0,0.91,manipulated,100,0.04,0.01,0.08,0,0.9,20260917
openai_gpt56_sol,GPT,10.0,0.99,manipulated,100,0.0,0.0,0.0,0,0.9,20260917
openai_gpt56_sol,GPT,10.0,,hidden,100,0.32,0.23,0.41,,0.9,20260917
openai_gpt56_sol,GPT,10.0,,true_confidence_visible,100,0.14,0.07,0.21,,0.9,20260917
openai_gpt56_sol,GPT,20.0,0.9,manipulated,100,1.0,1.0,1.0,1,0.95,20260917
openai_gpt56_sol,GPT,20.0,0.93,manipulated,100,0.97,0.93,1.0,1,0.95,20260917
openai_gpt56_sol,GPT,20.0,0.94,manipulated,100,0.97,0.93,1.0,1,0.95,20260917
openai_gpt56_sol,GPT,20.0,0.96,manipulated,100,0.02,0.0,0.05,0,0.95,20260917
openai_gpt56_sol,GPT,20.0,0.99,manipulated,100,0.02,0.0,0.05,0,0.95,20260917
openai_gpt56_sol,GPT,20.0,,hidden,100,0.33,0.24,0.42,,0.95,20260917
openai_gpt56_sol,GPT,20.0,,true_confidence_visible,100,0.25,0.17,0.34,,0.95,20260917
anthropic_sonnet5,Claude,10.0,0.8,manipulated,100,0.86,0.79,0.92,1,0.9,20260917
anthropic_sonnet5,Claude,10.0,0.88,manipulated,100,0.8,0.72,0.87,1,0.9,20260917
anthropic_sonnet5,Claude,10.0,0.89,manipulated,100,0.79,0.71,0.87,1,0.9,20260917
anthropic_sonnet5,Claude,10.0,0.91,manipulated,100,0.72,0.63,0.8,0,0.9,20260917
anthropic_sonnet5,Claude,10.0,0.99,manipulated,100,0.5,0.4,0.6,0,0.9,20260917
anthropic_sonnet5,Claude,10.0,,hidden,100,0.57,0.47,0.66,,0.9,20260917
anthropic_sonnet5,Claude,10.0,,true_confidence_visible,100,0.84,0.77,0.91,,0.9,20260917
anthropic_sonnet5,Claude,20.0,0.9,manipulated,100,0.9,0.84,0.95,1,0.95,20260917
anthropic_sonnet5,Claude,20.0,0.93,manipulated,100,0.8,0.72,0.87,1,0.95,20260917
anthropic_sonnet5,Claude,20.0,0.94,manipulated,100,0.77,0.69,0.85,1,0.95,20260917
anthropic_sonnet5,Claude,20.0,0.96,manipulated,100,0.7,0.61,0.79,0,0.95,20260917
anthropic_sonnet5,Claude,20.0,0.99,manipulated,100,0.62,0.53,0.71,0,0.95,20260917
anthropic_sonnet5,Claude,20.0,,hidden,100,0.65,0.56,0.74,,0.95,20260917
anthropic_sonnet5,Claude,20.0,,true_confidence_visible,100,0.84,0.76,0.91,,0.95,20260917
