attempt_index,provider,requested_model_id,model_alias
1,openai,gpt-5.6-sol,openai_gpt56_sol
2,openai,gpt-5.6-sol,openai_gpt56_sol
3,openai,gpt-5.6-sol,openai_gpt56_sol
4,openai,gpt-5.6-sol,openai_gpt56_sol
5,openai,gpt-5.6-sol,openai_gpt56_sol
6,openai,gpt-5.6-sol,openai_gpt56_sol
7,openai,gpt-5.6-sol,openai_gpt56_sol
8,openai,gpt-5.6-sol,openai_gpt56_sol
9,openai,gpt-5.6-sol,openai_gpt56_sol
10,openai,gpt-5.6-sol,openai_gpt56_sol
11,openai,gpt-5.6-sol,openai_gpt56_sol
12,openai,gpt-5.6-sol,openai_gpt56_sol
13,openai,gpt-5.6-sol,openai_gpt56_sol
14,openai,gpt-5.6-sol,openai_gpt56_sol
15,openai,gpt-5.6-sol,openai_gpt56_sol
16,openai,gpt-5.6-sol,openai_gpt56_sol
17,openai,gpt-5.6-sol,openai_gpt56_sol
18,openai,gpt-5.6-sol,openai_gpt56_sol
19,openai,gpt-5.6-sol,openai_gpt56_sol
20,openai,gpt-5.6-sol,openai_gpt56_sol
21,openai,gpt-5.6-sol,openai_gpt56_sol
22,openai,gpt-5.6-sol,openai_gpt56_sol
23,openai,gpt-5.6-sol,openai_gpt56_sol
24,openai,gpt-5.6-sol,openai_gpt56_sol
25,openai,gpt-5.6-sol,openai_gpt56_sol
26,openai,gpt-5.6-sol,openai_gpt56_sol
27,openai,gpt-5.6-sol,openai_gpt56_sol
28,openai,gpt-5.6-sol,openai_gpt56_sol
29,anthropic,claude-sonnet-5,anthropic_sonnet5
30,anthropic,claude-sonnet-5,anthropic_sonnet5
31,anthropic,claude-sonnet-5,anthropic_sonnet5
32,anthropic,claude-sonnet-5,anthropic_sonnet5
33,anthropic,claude-sonnet-5,anthropic_sonnet5
34,anthropic,claude-sonnet-5,anthropic_sonnet5
35,anthropic,claude-sonnet-5,anthropic_sonnet5
36,anthropic,claude-sonnet-5,anthropic_sonnet5
37,anthropic,claude-sonnet-5,anthropic_sonnet5
38,anthropic,claude-sonnet-5,anthropic_sonnet5
39,anthropic,claude-sonnet-5,anthropic_sonnet5
40,anthropic,claude-sonnet-5,anthropic_sonnet5
41,anthropic,claude-sonnet-5,anthropic_sonnet5
42,anthropic,claude-sonnet-5,anthropic_sonnet5
43,anthropic,claude-sonnet-5,anthropic_sonnet5
44,anthropic,claude-sonnet-5,anthropic_sonnet5
45,anthropic,claude-sonnet-5,anthropic_sonnet5
46,anthropic,claude-sonnet-5,anthropic_sonnet5
47,anthropic,claude-sonnet-5,anthropic_sonnet5
48,anthropic,claude-sonnet-5,anthropic_sonnet5
49,anthropic,claude-sonnet-5,anthropic_sonnet5
50,anthropic,claude-sonnet-5,anthropic_sonnet5
51,anthropic,claude-sonnet-5,anthropic_sonnet5
52,anthropic,claude-sonnet-5,anthropic_sonnet5
53,anthropic,claude-sonnet-5,anthropic_sonnet5
54,anthropic,claude-sonnet-5,anthropic_sonnet5
55,anthropic,claude-sonnet-5,anthropic_sonnet5
56,anthropic,claude-sonnet-5,anthropic_sonnet5
57,openai,gpt-5.6-sol,openai_gpt56_sol
58,openai,gpt-5.6-sol,openai_gpt56_sol
59,openai,gpt-5.6-sol,openai_gpt56_sol
60,openai,gpt-5.6-sol,openai_gpt56_sol
61,openai,gpt-5.6-sol,openai_gpt56_sol
62,openai,gpt-5.6-sol,openai_gpt56_sol
63,openai,gpt-5.6-sol,openai_gpt56_sol
64,openai,gpt-5.6-sol,openai_gpt56_sol
65,openai,gpt-5.6-sol,openai_gpt56_sol
66,openai,gpt-5.6-sol,openai_gpt56_sol
67,openai,gpt-5.6-sol,openai_gpt56_sol
68,openai,gpt-5.6-sol,openai_gpt56_sol
69,openai,gpt-5.6-sol,openai_gpt56_sol
70,openai,gpt-5.6-sol,openai_gpt56_sol
71,openai,gpt-5.6-sol,openai_gpt56_sol
72,openai,gpt-5.6-sol,openai_gpt56_sol
73,openai,gpt-5.6-sol,openai_gpt56_sol
74,openai,gpt-5.6-sol,openai_gpt56_sol
75,openai,gpt-5.6-sol,openai_gpt56_sol
76,openai,gpt-5.6-sol,openai_gpt56_sol
77,openai,gpt-5.6-sol,openai_gpt56_sol
78,openai,gpt-5.6-sol,openai_gpt56_sol
79,openai,gpt-5.6-sol,openai_gpt56_sol
80,openai,gpt-5.6-sol,openai_gpt56_sol
81,openai,gpt-5.6-sol,openai_gpt56_sol
82,openai,gpt-5.6-sol,openai_gpt56_sol
83,openai,gpt-5.6-sol,openai_gpt56_sol
