model_alias,model_label,L,display_condition,n_questions,n_complete_triples,frac_all_three_agree,frac_two_one_split,mean_action_entropy_bits,mean_pairwise_disagreement,p_repeat1_differs_from_primary,p_repeat2_differs_from_primary,p_repeat1_differs_from_repeat2
openai_gpt56_sol,GPT,10.0,hidden,20,20,0.8,0.2,0.18365916681089792,0.13333333333333333,0.0,0.2,0.2
openai_gpt56_sol,GPT,10.0,true_confidence_visible,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,10.0,manipulated_1,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,10.0,manipulated_2,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,10.0,manipulated_3,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,10.0,manipulated_4,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,10.0,manipulated_5,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,20.0,hidden,20,20,0.65,0.35,0.32140354191907133,0.2333333333333333,0.2,0.25,0.25
openai_gpt56_sol,GPT,20.0,true_confidence_visible,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,20.0,manipulated_1,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,20.0,manipulated_2,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.0,0.05,0.05
openai_gpt56_sol,GPT,20.0,manipulated_3,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_gpt56_sol,GPT,20.0,manipulated_4,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.0,0.05,0.05
openai_gpt56_sol,GPT,20.0,manipulated_5,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,10.0,hidden,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.05,0.0
anthropic_sonnet5,Claude,10.0,true_confidence_visible,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.0,0.05
anthropic_sonnet5,Claude,10.0,manipulated_1,20,20,0.85,0.15,0.13774437510817344,0.1,0.05,0.15,0.1
anthropic_sonnet5,Claude,10.0,manipulated_2,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,10.0,manipulated_3,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.05,0.0
anthropic_sonnet5,Claude,10.0,manipulated_4,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.05,0.0
anthropic_sonnet5,Claude,10.0,manipulated_5,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,20.0,hidden,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,20.0,true_confidence_visible,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.0,0.05
anthropic_sonnet5,Claude,20.0,manipulated_1,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.05,0.0
anthropic_sonnet5,Claude,20.0,manipulated_2,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,20.0,manipulated_3,20,20,0.9,0.1,0.09182958340544896,0.06666666666666667,0.1,0.05,0.05
anthropic_sonnet5,Claude,20.0,manipulated_4,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.05,0.0,0.05
anthropic_sonnet5,Claude,20.0,manipulated_5,20,20,0.95,0.05,0.04591479170272448,0.03333333333333333,0.0,0.05,0.05
