section,model_alias,L,displayed_confidence,n_repeat_questions,primary_delta_p_v_wrong_minus_correct,gen3_mean_delta,direction_same
directional_persistence,openai_gpt56_sol,10.0,0.8,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,10.0,0.88,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,10.0,0.89,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,10.0,0.91,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,10.0,0.99,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,20.0,0.9,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,20.0,0.93,20,0.0,0.0222,False
directional_persistence,openai_gpt56_sol,20.0,0.94,20,0.0,0.0,True
directional_persistence,openai_gpt56_sol,20.0,0.96,20,0.0,-0.0222,False
directional_persistence,openai_gpt56_sol,20.0,0.99,20,0.0,0.0,True
directional_persistence,anthropic_sonnet5,10.0,0.8,20,0.200,0.200,True
directional_persistence,anthropic_sonnet5,10.0,0.88,20,0.300,0.300,True
directional_persistence,anthropic_sonnet5,10.0,0.89,20,0.300,0.367,True
directional_persistence,anthropic_sonnet5,10.0,0.91,20,0.400,0.333,True
directional_persistence,anthropic_sonnet5,10.0,0.99,20,0.400,0.400,True
directional_persistence,anthropic_sonnet5,20.0,0.9,20,0.300,0.233,True
directional_persistence,anthropic_sonnet5,20.0,0.93,20,0.300,0.300,True
directional_persistence,anthropic_sonnet5,20.0,0.94,20,0.200,0.300,True
directional_persistence,anthropic_sonnet5,20.0,0.96,20,0.300,0.333,True
directional_persistence,anthropic_sonnet5,20.0,0.99,20,0.300,0.333,True
