model_alias,model_label,L,displayed_confidence,hidden_verify__fixed_verify,hidden_verify__fixed_use,hidden_use__fixed_verify,hidden_use__fixed_use,n,raw_agreement,agreement_wrong,agreement_correct,cohens_kappa,kappa_reported
openai_gpt56_sol,GPT,10.0,0.8,32,0,68,0,100,0.32,0.631578947368421,0.24691358024691357,,False
openai_gpt56_sol,GPT,10.0,0.88,32,0,68,0,100,0.32,0.631578947368421,0.24691358024691357,,False
openai_gpt56_sol,GPT,10.0,0.89,32,0,68,0,100,0.32,0.631578947368421,0.24691358024691357,,False
openai_gpt56_sol,GPT,10.0,0.91,3,29,1,67,100,0.7,0.47368421052631576,0.7530864197530864,,False
openai_gpt56_sol,GPT,10.0,0.99,0,32,0,68,100,0.68,0.3684210526315789,0.7530864197530864,,False
openai_gpt56_sol,GPT,20.0,0.9,33,0,67,0,100,0.33,0.631578947368421,0.25925925925925924,,False
openai_gpt56_sol,GPT,20.0,0.93,33,0,64,3,100,0.36,0.631578947368421,0.2962962962962963,,False
openai_gpt56_sol,GPT,20.0,0.94,32,1,65,2,100,0.34,0.5789473684210527,0.2839506172839506,,False
openai_gpt56_sol,GPT,20.0,0.96,1,32,1,66,100,0.67,0.3157894736842105,0.7530864197530864,,False
openai_gpt56_sol,GPT,20.0,0.99,2,31,0,67,100,0.69,0.47368421052631576,0.7407407407407407,,False
anthropic_sonnet5,Claude,10.0,0.8,57,0,29,14,100,0.71,0.8518518518518519,0.6575342465753424,0.3549822064056939,True
anthropic_sonnet5,Claude,10.0,0.88,57,0,23,20,100,0.77,0.9259259259259259,0.7123287671232876,0.497816593886463,True
anthropic_sonnet5,Claude,10.0,0.89,57,0,22,21,100,0.78,0.8888888888888888,0.7397260273972602,0.5211144971702221,True
anthropic_sonnet5,Claude,10.0,0.91,57,0,15,28,100,0.85,0.9629629629629629,0.8082191780821918,0.680306905370844,True
anthropic_sonnet5,Claude,10.0,0.99,48,9,2,41,100,0.89,1.0,0.8493150684931506,0.78,True
anthropic_sonnet5,Claude,20.0,0.9,65,0,25,10,100,0.75,0.8518518518518519,0.7123287671232876,0.3421052631578946,True
anthropic_sonnet5,Claude,20.0,0.93,65,0,15,20,100,0.85,0.9259259259259259,0.821917808219178,0.6341463414634146,True
anthropic_sonnet5,Claude,20.0,0.94,64,1,13,22,100,0.86,0.8888888888888888,0.8493150684931506,0.665871121718377,True
anthropic_sonnet5,Claude,20.0,0.96,62,3,8,27,100,0.89,0.8888888888888888,0.8904109589041096,0.7500000000000001,True
anthropic_sonnet5,Claude,20.0,0.99,57,8,5,30,100,0.87,0.8518518518518519,0.8767123287671232,0.7198275862068966,True
