model_alias,empirical_error_rate,N_questions,expected_n_wrong,expected_n_correct,scenario,assumed_delta_p_verify_wrong_minus_correct,approx_95ci_width,sim_power_two_proportion_alpha05,n_sims,note
openai_gpt56_sol,0.18999999999999995,100,18.999999999999993,81.0,tiny_5pp,0.05,0.49758892616415373,0.071,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,100,18.999999999999993,81.0,small_10pp,0.1,0.4914560562559681,0.131,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,100,18.999999999999993,81.0,medium_15pp,0.15,0.4810608917241754,0.2135,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,100,18.999999999999993,81.0,large_20pp,0.2,0.4661183523404373,0.347,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,100,18.999999999999993,81.0,very_large_30pp,0.3,0.42050971885525057,0.7,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,200,37.999999999999986,162.0,tiny_5pp,0.05,0.35184850393400546,0.094,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,200,37.999999999999986,162.0,small_10pp,0.1,0.34751191003379245,0.193,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,200,37.999999999999986,162.0,medium_15pp,0.15,0.3401614187018119,0.3915,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,200,37.999999999999986,162.0,large_20pp,0.2,0.32959544777542366,0.595,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,200,37.999999999999986,162.0,very_large_30pp,0.3,0.29734527375739633,0.9325,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,400,75.99999999999997,324.0,tiny_5pp,0.05,0.24879446308207687,0.1125,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,400,75.99999999999997,324.0,small_10pp,0.1,0.24572802812798406,0.3565,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,400,75.99999999999997,324.0,medium_15pp,0.15,0.2405304458620877,0.6885,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,400,75.99999999999997,324.0,large_20pp,0.2,0.23305917617021865,0.899,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,400,75.99999999999997,324.0,very_large_30pp,0.3,0.21025485942762528,0.998,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,600,113.99999999999997,486.00000000000006,tiny_5pp,0.05,0.20313982846026513,0.1605,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,600,113.99999999999997,486.00000000000006,small_10pp,0.1,0.20063609480461106,0.488,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,600,113.99999999999997,486.00000000000006,medium_15pp,0.15,0.19639228665541608,0.8315,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,600,113.99999999999997,486.00000000000006,large_20pp,0.2,0.19029202049681607,0.9765,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,600,113.99999999999997,486.00000000000006,very_large_30pp,0.3,0.1716723738460957,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,800,151.99999999999994,648.0,tiny_5pp,0.05,0.17592425196700273,0.196,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,800,151.99999999999994,648.0,small_10pp,0.1,0.17375595501689622,0.5945,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,800,151.99999999999994,648.0,medium_15pp,0.15,0.17008070935090594,0.9235,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,800,151.99999999999994,648.0,large_20pp,0.2,0.16479772388771183,0.996,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,800,151.99999999999994,648.0,very_large_30pp,0.3,0.14867263687869817,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,1000,189.99999999999994,810.0,tiny_5pp,0.05,0.15735143451560765,0.2385,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,1000,189.99999999999994,810.0,small_10pp,0.1,0.15541205076527023,0.716,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,1000,189.99999999999994,810.0,medium_15pp,0.15,0.15212481110800394,0.9665,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,1000,189.99999999999994,810.0,large_20pp,0.2,0.14739956526006584,0.9995,2000,Pilot precision check; not a confirmatory sample-size freeze.
openai_gpt56_sol,0.18999999999999995,1000,189.99999999999994,810.0,very_large_30pp,0.3,0.1329768489819645,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,100,27.0,73.0,tiny_5pp,0.05,0.4398673938824214,0.0655,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,100,27.0,73.0,small_10pp,0.1,0.4349883673806333,0.1395,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,100,27.0,73.0,medium_15pp,0.15,0.4267327098810152,0.2655,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,100,27.0,73.0,large_20pp,0.2,0.4148989057333015,0.4475,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,100,27.0,73.0,very_large_30pp,0.3,0.3790577867323064,0.821,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,200,54.0,146.0,tiny_5pp,0.05,0.31103321703711423,0.0925,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,200,54.0,146.0,small_10pp,0.1,0.30758322431211105,0.2505,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,200,54.0,146.0,medium_15pp,0.15,0.30174559291097747,0.488,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,200,54.0,146.0,large_20pp,0.2,0.29337782975089566,0.715,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,200,54.0,146.0,very_large_30pp,0.3,0.268034331459978,0.9855,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,400,108.0,292.0,tiny_5pp,0.05,0.2199336969412107,0.161,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,400,108.0,292.0,small_10pp,0.1,0.21749418369031664,0.4325,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,400,108.0,292.0,medium_15pp,0.15,0.2133663549405076,0.766,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,400,108.0,292.0,large_20pp,0.2,0.20744945286665076,0.951,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,400,108.0,292.0,very_large_30pp,0.3,0.1895288933661532,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,600,162.0,438.0,tiny_5pp,0.05,0.17957511158329323,0.1905,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,600,162.0,438.0,small_10pp,0.1,0.17758325735481031,0.608,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,600,162.0,438.0,medium_15pp,0.15,0.17421289929393607,0.9075,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,600,162.0,438.0,large_20pp,0.2,0.16938176898094778,0.997,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,600,162.0,438.0,very_large_30pp,0.3,0.15474969342047967,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,800,216.0,584.0,tiny_5pp,0.05,0.15551660851855711,0.2265,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,800,216.0,584.0,small_10pp,0.1,0.15379161215605552,0.7145,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,800,216.0,584.0,medium_15pp,0.15,0.15087279645548873,0.9715,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,800,216.0,584.0,large_20pp,0.2,0.14668891487544783,0.9995,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,800,216.0,584.0,very_large_30pp,0.3,0.134017165729989,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,1000,270.0,730.0,tiny_5pp,0.05,0.13909828331108665,0.284,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,1000,270.0,730.0,small_10pp,0.1,0.13755539966008926,0.8125,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,1000,270.0,730.0,medium_15pp,0.15,0.13494473153198486,0.989,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,1000,270.0,730.0,large_20pp,0.2,0.13120255408287257,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
anthropic_sonnet5,0.27,1000,270.0,730.0,very_large_30pp,0.3,0.11986859708964424,1.0,2000,Pilot precision check; not a confirmatory sample-size freeze.
