model_alias,model_label,L,contrast_type,displayed_confidence,n_questions,verification_rate,ci_lower,ci_upper,verify_to_use,use_to_verify,no_change
openai_gpt56_sol,GPT,10.0,rate_by_displayed_score,0.8,100,1.0,1.0,1.0,,,
openai_gpt56_sol,GPT,10.0,rate_by_displayed_score,0.88,100,1.0,1.0,1.0,,,
openai_gpt56_sol,GPT,10.0,rate_by_displayed_score,0.89,100,1.0,1.0,1.0,,,
openai_gpt56_sol,GPT,10.0,rate_by_displayed_score,0.91,100,0.04,0.01,0.08,,,
openai_gpt56_sol,GPT,10.0,rate_by_displayed_score,0.99,100,0.0,0.0,0.0,,,
openai_gpt56_sol,GPT,10.0,near_threshold,0.89->0.91,100,,0.92,0.99,96,0,4
openai_gpt56_sol,GPT,10.0,extreme,0.8->0.99,100,,1.0,1.0,100,0,0
openai_gpt56_sol,GPT,10.0,reference_rate,hidden,100,0.32,0.23,0.41,,,
openai_gpt56_sol,GPT,10.0,reference_rate,true_confidence_visible,100,0.14,0.07,0.21,,,
openai_gpt56_sol,GPT,20.0,rate_by_displayed_score,0.9,100,1.0,1.0,1.0,,,
openai_gpt56_sol,GPT,20.0,rate_by_displayed_score,0.93,100,0.97,0.93,1.0,,,
openai_gpt56_sol,GPT,20.0,rate_by_displayed_score,0.94,100,0.97,0.93,1.0,,,
openai_gpt56_sol,GPT,20.0,rate_by_displayed_score,0.96,100,0.02,0.0,0.05,,,
openai_gpt56_sol,GPT,20.0,rate_by_displayed_score,0.99,100,0.02,0.0,0.05,,,
openai_gpt56_sol,GPT,20.0,near_threshold,0.94->0.96,100,,0.9,0.99,95,0,5
openai_gpt56_sol,GPT,20.0,extreme,0.9->0.99,100,,0.95,1.0,98,0,2
openai_gpt56_sol,GPT,20.0,reference_rate,hidden,100,0.33,0.24,0.42,,,
openai_gpt56_sol,GPT,20.0,reference_rate,true_confidence_visible,100,0.25,0.17,0.34,,,
anthropic_sonnet5,Claude,10.0,rate_by_displayed_score,0.8,100,0.86,0.79,0.92,,,
anthropic_sonnet5,Claude,10.0,rate_by_displayed_score,0.88,100,0.8,0.72,0.87,,,
anthropic_sonnet5,Claude,10.0,rate_by_displayed_score,0.89,100,0.79,0.71,0.87,,,
anthropic_sonnet5,Claude,10.0,rate_by_displayed_score,0.91,100,0.72,0.63,0.8,,,
anthropic_sonnet5,Claude,10.0,rate_by_displayed_score,0.99,100,0.5,0.4,0.6,,,
anthropic_sonnet5,Claude,10.0,near_threshold,0.89->0.91,100,,0.02,0.12,7,0,93
anthropic_sonnet5,Claude,10.0,extreme,0.8->0.99,100,,0.27,0.45,36,0,64
anthropic_sonnet5,Claude,10.0,reference_rate,hidden,100,0.57,0.47,0.66,,,
anthropic_sonnet5,Claude,10.0,reference_rate,true_confidence_visible,100,0.84,0.77,0.91,,,
anthropic_sonnet5,Claude,20.0,rate_by_displayed_score,0.9,100,0.9,0.84,0.95,,,
anthropic_sonnet5,Claude,20.0,rate_by_displayed_score,0.93,100,0.8,0.72,0.87,,,
anthropic_sonnet5,Claude,20.0,rate_by_displayed_score,0.94,100,0.77,0.69,0.85,,,
anthropic_sonnet5,Claude,20.0,rate_by_displayed_score,0.96,100,0.7,0.61,0.79,,,
anthropic_sonnet5,Claude,20.0,rate_by_displayed_score,0.99,100,0.62,0.53,0.71,,,
anthropic_sonnet5,Claude,20.0,near_threshold,0.94->0.96,100,,0.03,0.12024999999999636,7,0,93
anthropic_sonnet5,Claude,20.0,extreme,0.9->0.99,100,,0.19,0.37,28,0,72
anthropic_sonnet5,Claude,20.0,reference_rate,hidden,100,0.65,0.56,0.74,,,
anthropic_sonnet5,Claude,20.0,reference_rate,true_confidence_visible,100,0.84,0.76,0.91,,,
