model_alias,model_label,feature_set,n,log_loss,auroc,brier,delta_log_loss,delta_auroc,delta_log_loss_ci_lower,delta_log_loss_ci_upper,delta_auroc_ci_lower,delta_auroc_ci_upper,note
openai_gpt56_sol,GPT,q1,500,0.45091785402644474,0.6398096351340068,0.1402902403725998,,,,,,,
openai_gpt56_sol,GPT,q1_q2,500,0.4519941669080185,0.6410898666889315,0.14079662533868847,,,,,,,
openai_gpt56_sol,GPT,q1_hidden,500,0.40698735583297596,0.7349642370098244,0.12625510195374906,,,,,,,
openai_gpt56_sol,GPT,q1_q2_hidden,500,0.409661201812269,0.7222036681417161,0.12748334520339802,,,,,,,
openai_gpt56_sol,GPT,incremental_hidden_after_q1_q2,500,,,,-0.04233296509574952,0.08111380145278457,-0.0668735665487728,-0.018770330502477284,-0.002018970189701874,0.16276078431372554,negative delta_log_loss / positive delta_auroc means hidden still helps after q1+q2
anthropic_sonnet5,Claude,q1,500,0.508528322056864,0.7230614931360871,0.16673223433760598,,,,,,,
anthropic_sonnet5,Claude,q1_q2,500,0.5005953983889458,0.7304373263127103,0.16423090627777334,,,,,,,
anthropic_sonnet5,Claude,q1_hidden,500,0.47068261863135846,0.7725088280156293,0.15544197245091246,,,,,,,
anthropic_sonnet5,Claude,q1_q2_hidden,500,0.468228523757128,0.7754654296997432,0.15482774420368656,,,,,,,
anthropic_sonnet5,Claude,incremental_hidden_after_q1_q2,500,,,,-0.032366874631817866,0.04502810338703289,-0.05534829128877078,-0.008821982922335714,0.0157759999999999,0.07419780019998201,negative delta_log_loss / positive delta_auroc means hidden still helps after q1+q2
