analysis,L,displayed_confidence,difficulty_bin,n,n_wrong,n_correct,n_verify,n_use,n_questions_in_bin_global,p_verify_given_wrong,p_verify_given_correct,delta,ci_lower,ci_upper,estimable,note,mean_verify_propensity_wrong,mean_verify_propensity_correct,delta_mean_propensity,n_matched,error_rate_verify_matched,error_rate_use_matched,delta_error_verify_minus_use,mean_other_n_correct_verify,mean_other_n_correct_use,mean_difficulty_abs_diff,frac_same_category
stratified_2x2,10.0,0.8,0-1,18,13,5,17,1,18,0.9230769230769231,1.0,-0.07692307692307687,-0.25,0.0,True,,,,,,,,,,,,
stratified_2x2,10.0,0.8,2,19,8,11,19,0,19,,,,,,False,sparse; estimate not forced,,,,,,,,,,,
stratified_2x2,10.0,0.8,3,63,6,57,50,13,63,1.0,0.7719298245614035,0.22807017543859653,0.125,0.3448275862068966,True,,,,,,,,,,,,
stratified_2x2,10.0,0.88,0-1,18,13,5,15,3,18,0.7692307692307693,1.0,-0.23076923076923073,-0.4666666666666667,0.0,True,,,,,,,,,,,,
stratified_2x2,10.0,0.88,2,19,8,11,19,0,19,,,,,,False,sparse; estimate not forced,,,,,,,,,,,
stratified_2x2,10.0,0.88,3,63,6,57,46,17,63,1.0,0.7017543859649122,0.29824561403508776,0.18518518518518523,0.4181818181818182,True,,,,,,,,,,,,
stratified_2x2,10.0,0.89,0-1,18,13,5,16,2,18,0.8461538461538461,1.0,-0.15384615384615385,-0.375,0.0,True,,,,,,,,,,,,
stratified_2x2,10.0,0.89,2,19,8,11,19,0,19,,,,,,False,sparse; estimate not forced,,,,,,,,,,,
stratified_2x2,10.0,0.89,3,63,6,57,44,19,63,1.0,0.6666666666666666,0.33333333333333337,0.21818181818181814,0.4629629629629629,True,,,,,,,,,,,,
stratified_2x2,10.0,0.91,0-1,18,13,5,14,4,18,0.6923076923076923,1.0,-0.3076923076923077,-0.5833333333333333,-0.07692307692307687,True,,,,,,,,,,,,
stratified_2x2,10.0,0.91,2,19,8,11,19,0,19,,,,,,False,sparse; estimate not forced,,,,,,,,,,,
stratified_2x2,10.0,0.91,3,63,6,57,39,24,63,1.0,0.5789473684210527,0.42105263157894735,0.2931034482758621,0.5517241379310345,True,,,,,,,,,,,,
stratified_2x2,10.0,0.99,0-1,18,13,5,13,5,18,0.6153846153846154,1.0,-0.3846153846153846,-0.6666666666666667,-0.125,True,,,,,,,,,,,,
