model_alias,model_label,contrast,augmented,baseline,delta_auroc,delta_auroc_ci_lower,delta_auroc_ci_upper,delta_log_loss,delta_log_loss_ci_lower,delta_log_loss_ci_upper,delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,note
openai_gpt56_sol,GPT,contrast_A_hidden_after_q1_q2,q1_q2_hidden,q1_q2,0.08111380145278457,0.003102934686672554,0.1631342821782179,-0.04233296509574952,-0.0668735665487728,-0.018770330502477284,-0.013313280135290456,-0.02180841215931756,-0.005250320267378761,negative delta_log_loss / positive delta_auroc means the augmented set helps
openai_gpt56_sol,GPT,contrast_B_hidden_after_q1_q2_difficulty,q1_q2_difficulty_hidden,q1_q2_difficulty,0.015084467451504269,0.0013553728748636473,0.03050595238095244,-0.00533022889874879,-0.01462926004870202,0.003794700271779805,-0.00032553446169279743,-0.0034350235593131884,0.0028278933025743525,negative delta_log_loss / positive delta_auroc means the augmented set helps
openai_gpt56_sol,GPT,contrast_difficulty_after_q1_q2,q1_q2_difficulty,q1_q2,0.216108652695444,0.1336967808930425,0.29749558693733447,-0.12472029202466889,-0.17154338909206007,-0.07553828307600063,-0.04056384315510898,-0.05817054191338612,-0.022893143059939947,negative delta_log_loss / positive delta_auroc means the augmented set helps
openai_gpt56_sol,GPT,contrast_q2_after_q1,q1_q2,q1,0.0012802315549247378,-0.016324289965617855,0.019384375608805793,0.0010763128815737821,-0.0023136560158321107,0.004604242539836878,0.0005063849660886799,-0.0009005514982472484,0.0019187065322904262,negative delta_log_loss / positive delta_auroc means the augmented set helps
openai_gpt56_sol,GPT,contrast_single_hidden_after_q1_q2_difficulty,q1_q2_difficulty_single_hidden,q1_q2_difficulty,0.005677548634883456,-0.002760784313725395,0.01593553624582822,-0.00039316776985603985,-0.005140739485024248,0.004405215659871287,0.0002450518719774447,-0.0013695069499628648,0.0018750808993400203,negative delta_log_loss / positive delta_auroc means the augmented set helps
anthropic_sonnet5,Claude,contrast_A_hidden_after_q1_q2,q1_q2_hidden,q1_q2,0.04502810338703289,0.01616031027795739,0.07501357302286304,-0.032366874631817866,-0.05534829128877078,-0.008821982922335714,-0.009403162074086785,-0.017004371390167777,-0.0016756313273533496,negative delta_log_loss / positive delta_auroc means the augmented set helps
anthropic_sonnet5,Claude,contrast_B_hidden_after_q1_q2_difficulty,q1_q2_difficulty_hidden,q1_q2_difficulty,0.004659520675317164,-0.00796224001411594,0.017086312511524038,-0.007628144212471322,-0.020103093262492377,0.005468227005609894,0.0007305960463313277,-0.003949962464266182,0.00554628192338516,negative delta_log_loss / positive delta_auroc means the augmented set helps
anthropic_sonnet5,Claude,contrast_difficulty_after_q1_q2,q1_q2_difficulty,q1_q2,0.11855659332622903,0.07127273468721951,0.16829315374056275,-0.0825512680838209,-0.12503830885605322,-0.03957553073953923,-0.028698743249466918,-0.045342279058483925,-0.011883554872097496,negative delta_log_loss / positive delta_auroc means the augmented set helps
anthropic_sonnet5,Claude,contrast_q2_after_q1,q1_q2,q1,0.007375833176623159,-0.006480758269827636,0.022275915504444965,-0.007932923667918201,-0.015055010218679554,-0.0011387692650031145,-0.002501328059832636,-0.005495170392102289,0.0003022252969141215,negative delta_log_loss / positive delta_auroc means the augmented set helps
anthropic_sonnet5,Claude,contrast_single_hidden_after_q1_q2_difficulty,q1_q2_difficulty_single_hidden,q1_q2_difficulty,0.002632733655112074,-0.008092438179918449,0.012909134521031707,-0.003962466752308436,-0.014768904544010697,0.007040973041710807,0.0012660041092584229,-0.0027035282835870533,0.005311515559639324,negative delta_log_loss / positive delta_auroc means the augmented set helps
