model_alias,model_label,budget_fraction,router,n,n_wrong,n_verify,catch_fraction,errors_caught,catch_ci_lower,catch_ci_upper,delta_vs_q1_q2_difficulty,delta_ci_lower,delta_ci_upper,note
openai_gpt56_sol,GPT,0.1,q1,500,87,50.0,0.20689655172413793,18.0,0.1407766990291262,0.28888888888888886,-0.17241379310344826,-0.28048780487804875,-0.07407407407407407,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.1,q1_q2,500,87,50.0,0.19540229885057472,17.0,0.13095238095238096,0.27710843373493976,-0.18390804597701146,-0.28735632183908044,-0.08791208791208793,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.1,q1_q2_difficulty,500,87,50.0,0.3793103448275862,33.0,0.3146067415730337,0.46987951807228917,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.1,q1_q2_difficulty_hidden,500,87,50.0,0.39080459770114945,34.0,0.3076923076923077,0.4657534246575342,0.01149425287356326,-0.05128205128205132,0.043478260869565244,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.1,q1_q2_difficulty_single_hidden,500,87,50.0,0.367816091954023,32.0,0.3023255813953488,0.4578313253012048,-0.011494252873563204,-0.05434782608695654,0.0253164556962025,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.2,q1,500,87,100.0,0.3984674329501916,34.66666666666667,0.3058823529411765,0.4854368932038835,-0.24521072796934862,-0.37420178799489145,-0.12359550561797755,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.2,q1_q2,500,87,100.0,0.367816091954023,32.0,0.2875,0.47058823529411764,-0.27586206896551724,-0.3837209302325582,-0.14432989690721648,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.2,q1_q2_difficulty,500,87,100.0,0.6436781609195402,56.0,0.5514018691588785,0.7317073170731707,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.2,q1_q2_difficulty_hidden,500,87,100.0,0.6551724137931034,57.0,0.5652173913043478,0.7464788732394366,0.011494252873563204,-0.025000000000000022,0.06024096385542166,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.2,q1_q2_difficulty_single_hidden,500,87,100.0,0.6551724137931034,57.0,0.5520833333333334,0.7333333333333333,0.011494252873563204,-0.03409090909090906,0.03703703703703709,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.3,q1,500,87,150.0,0.5072463768115942,44.130434782608695,0.4125,0.6021505376344086,-0.26286856571714134,-0.3900118906064209,-0.13502935420743645,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.3,q1_q2,500,87,150.0,0.5057471264367817,44.0,0.4166666666666667,0.6031746031746031,-0.2643678160919539,-0.3837209302325581,-0.13793103448275856,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.3,q1_q2_difficulty,500,87,150.0,0.7701149425287356,67.0,0.6808510638297872,0.8522727272727273,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.3,q1_q2_difficulty_hidden,500,87,150.0,0.7931034482758621,69.0,0.6951219512195121,0.8636363636363636,0.02298850574712652,-0.03797468354430389,0.05434782608695654,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.3,q1_q2_difficulty_single_hidden,500,87,150.0,0.7586206896551724,66.0,0.6774193548387096,0.8494623655913979,-0.011494252873563204,-0.040000000000000036,0.025316455696202556,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.4,q1,500,87,200.0,0.5747126436781609,50.0,0.47368421052631576,0.6662679425837321,-0.29885057471264376,-0.42361111111111105,-0.18518518518518512,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.4,q1_q2,500,87,200.0,0.5747126436781609,50.0,0.4878048780487805,0.6759864123334204,-0.29885057471264376,-0.4131944444444445,-0.1707317073170731,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.4,q1_q2_difficulty,500,87,200.0,0.8735632183908046,76.0,0.8021978021978022,0.9375,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.4,q1_q2_difficulty_hidden,500,87,200.0,0.8735632183908046,76.0,0.7920792079207921,0.9438202247191011,0.0,-0.05747126436781613,0.04705882352941171,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.4,q1_q2_difficulty_single_hidden,500,87,200.0,0.896551724137931,78.0,0.7948717948717948,0.945054945054945,0.02298850574712641,-0.05102040816326525,0.04395604395604391,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.5,q1,500,87,250.0,0.6673427991886409,58.05882352941176,0.5766666666666667,0.7528957528957528,-0.25219743069641654,-0.36033755274261603,-0.1439280359820092,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.5,q1_q2,500,87,250.0,0.6781609195402298,59.0,0.5869565217391305,0.7692307692307693,-0.24137931034482762,-0.3495145631067962,-0.134020618556701,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.5,q1_q2_difficulty,500,87,250.0,0.9195402298850575,80.0,0.8571428571428571,0.974025974025974,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.5,q1_q2_difficulty_hidden,500,87,250.0,0.9425287356321839,82.0,0.8928571428571429,0.9885057471264368,0.02298850574712641,-0.012195121951219523,0.07608695652173914,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
openai_gpt56_sol,GPT,0.5,q1_q2_difficulty_single_hidden,500,87,250.0,0.9195402298850575,80.0,0.8586956521739131,0.9743589743589743,0.0,-0.011904761904761862,0.02564102564102566,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.1,q1,500,129,50.0,0.24031007751937986,31.0,0.1796875,0.29285714285714287,-0.046511627906976744,-0.10687022900763357,0.023622047244094474,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.1,q1_q2,500,129,50.0,0.23255813953488372,30.0,0.17857142857142858,0.2903703703703704,-0.05426356589147288,-0.10852713178294576,0.021897810218978103,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.1,q1_q2_difficulty,500,129,50.0,0.2868217054263566,37.0,0.22556390977443608,0.3305084745762712,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.1,q1_q2_difficulty_hidden,500,129,50.0,0.26356589147286824,34.0,0.2125984251968504,0.3178294573643411,-0.023255813953488358,-0.04580152671755727,0.02290076335877861,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.1,q1_q2_difficulty_single_hidden,500,129,50.0,0.2713178294573643,35.0,0.22142857142857142,0.3274336283185841,-0.015503875968992276,-0.033333333333333326,0.030534351145038163,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1,500,129,100.0,0.37209302325581395,48.0,0.30625402965828497,0.43873517786561267,-0.13953488372093026,-0.2180277349768875,-0.0602883355176933,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2,500,129,100.0,0.3701550387596899,47.75,0.3076923076923077,0.4426229508196721,-0.1414728682170543,-0.22033898305084743,-0.055999999999999994,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty,500,129,100.0,0.5116279069767442,66.0,0.4411764705882353,0.5855855855855856,,,,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty_hidden,500,129,100.0,0.49612403100775193,64.0,0.4365079365079365,0.5714285714285714,-0.015503875968992276,-0.046875,0.025423728813559365,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.2,q1_q2_difficulty_single_hidden,500,129,100.0,0.5038759689922481,65.0,0.43703703703703706,0.5739130434782609,-0.007751937984496138,-0.04424778761061954,0.02941176470588236,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1,500,129,150.0,0.5232558139534884,67.5,0.45380952380952383,0.6,-0.17441860465116277,-0.24576271186440674,-0.08266666666666667,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
anthropic_sonnet5,Claude,0.3,q1_q2,500,129,150.0,0.5426356589147286,70.0,0.452991452991453,0.6016949152542372,-0.15503875968992253,-0.248,-0.07964601769911506,OOF predicted P(correct); lowest predicted correctness verified first; Checkpoint A fractional ties
