model_alias,family,compared_condition,qual_hidden_verify_rate,qual_condition_verify_rate,hidden_minus_condition,agreement_with_study1_hidden_L10,agreement_with_v2_ai_L10_hidden,note
openai_gpt56_sol,moderate,hidden,0.4,0.4,0.0,0.85,0.75,descriptive continuity only; stakes wording changed
openai_gpt56_sol,moderate,displayed_0.70,0.4,0.7,-0.29999999999999993,0.85,0.75,descriptive continuity only; stakes wording changed
openai_gpt56_sol,moderate,displayed_0.90,0.4,0.2,0.2,0.85,0.75,descriptive continuity only; stakes wording changed
openai_gpt56_sol,moderate,displayed_0.99,0.4,0.05,0.35000000000000003,0.85,0.75,descriptive continuity only; stakes wording changed
openai_gpt56_sol,stronger,hidden,0.65,0.65,0.0,0.8,0.8,descriptive continuity only; stakes wording changed
openai_gpt56_sol,stronger,displayed_0.70,0.65,0.95,-0.29999999999999993,0.8,0.8,descriptive continuity only; stakes wording changed
openai_gpt56_sol,stronger,displayed_0.90,0.65,0.35,0.30000000000000004,0.8,0.8,descriptive continuity only; stakes wording changed
openai_gpt56_sol,stronger,displayed_0.99,0.65,0.2,0.45,0.8,0.8,descriptive continuity only; stakes wording changed
anthropic_sonnet5,moderate,hidden,0.65,0.65,0.0,0.95,0.95,descriptive continuity only; stakes wording changed
anthropic_sonnet5,moderate,displayed_0.70,0.65,0.95,-0.29999999999999993,0.95,0.95,descriptive continuity only; stakes wording changed
anthropic_sonnet5,moderate,displayed_0.90,0.65,0.75,-0.09999999999999998,0.95,0.95,descriptive continuity only; stakes wording changed
anthropic_sonnet5,moderate,displayed_0.99,0.65,0.65,0.0,0.95,0.95,descriptive continuity only; stakes wording changed
anthropic_sonnet5,stronger,hidden,0.7,0.7,0.0,0.9,0.9,descriptive continuity only; stakes wording changed
anthropic_sonnet5,stronger,displayed_0.70,0.7,0.95,-0.25,0.9,0.9,descriptive continuity only; stakes wording changed
anthropic_sonnet5,stronger,displayed_0.90,0.7,0.75,-0.050000000000000044,0.9,0.9,descriptive continuity only; stakes wording changed
anthropic_sonnet5,stronger,displayed_0.99,0.7,0.65,0.04999999999999993,0.9,0.9,descriptive continuity only; stakes wording changed
