model_alias,model_label,family,score_condition,n,n_verify,n_use,verify_rate,ci_lower,ci_upper,subset,kind,from_score,to_score,n_questions,mean_delta_verify,n_increased,n_decreased,n_unchanged,pilot20_0.70_to_0.99,remaining80_0.70_to_0.99,same_sign
openai_gpt56_sol,GPT,moderate,hidden,20,8,12,0.4,0.2,0.6,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.70,20,14,6,0.7,0.5,0.9,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.90,20,4,16,0.2,0.05,0.4,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.99,20,1,19,0.05,0.0,0.15,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,hidden,20,13,7,0.65,0.45,0.85,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,displayed_0.70,20,19,1,0.95,0.85,1.0,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,displayed_0.90,20,7,13,0.35,0.15,0.55,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,displayed_0.99,20,4,16,0.2,0.05,0.4,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,hidden,20,13,7,0.65,0.45,0.85,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.70,20,19,1,0.95,0.85,1.0,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.90,20,15,5,0.75,0.55,0.9,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.99,20,13,7,0.65,0.45,0.85,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,hidden,20,14,6,0.7,0.5,0.9,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.70,20,19,1,0.95,0.85,1.0,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.90,20,15,5,0.75,0.55,0.9,pilot20,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.99,20,13,7,0.65,0.45,0.85,pilot20,rate,,,,,,,,,,
openai_gpt56_sol,,moderate,,,,,,-0.7,-0.3,pilot20,score_delta,0.7,0.9,20,-0.5,0,10,10,,,
openai_gpt56_sol,,moderate,,,,,,-0.3,0.0,pilot20,score_delta,0.9,0.99,20,-0.15,0,3,17,,,
openai_gpt56_sol,,moderate,,,,,,-0.85,-0.45,pilot20,score_delta,0.7,0.99,20,-0.65,0,13,7,,,
openai_gpt56_sol,,stronger,,,,,,-0.8,-0.4,pilot20,score_delta,0.7,0.9,20,-0.6,0,12,8,,,
openai_gpt56_sol,,stronger,,,,,,-0.35,0.05,pilot20,score_delta,0.9,0.99,20,-0.15,1,4,15,,,
openai_gpt56_sol,,stronger,,,,,,-0.95,-0.55,pilot20,score_delta,0.7,0.99,20,-0.75,0,15,5,,,
anthropic_sonnet5,,moderate,,,,,,-0.4,-0.05,pilot20,score_delta,0.7,0.9,20,-0.2,0,4,16,,,
anthropic_sonnet5,,moderate,,,,,,-0.25,0.0,pilot20,score_delta,0.9,0.99,20,-0.1,0,2,18,,,
anthropic_sonnet5,,moderate,,,,,,-0.5,-0.1,pilot20,score_delta,0.7,0.99,20,-0.3,0,6,14,,,
anthropic_sonnet5,,stronger,,,,,,-0.4,-0.05,pilot20,score_delta,0.7,0.9,20,-0.2,0,4,16,,,
anthropic_sonnet5,,stronger,,,,,,-0.25,0.0,pilot20,score_delta,0.9,0.99,20,-0.1,0,2,18,,,
anthropic_sonnet5,,stronger,,,,,,-0.5,-0.1,pilot20,score_delta,0.7,0.99,20,-0.3,0,6,14,,,
openai_gpt56_sol,GPT,moderate,hidden,80,27,53,0.3375,0.2375,0.45,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.70,80,45,35,0.5625,0.45,0.675,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.90,80,16,64,0.2,0.1125,0.2875,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,moderate,displayed_0.99,80,6,74,0.075,0.025,0.1375,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,hidden,80,39,41,0.4875,0.375,0.6,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,displayed_0.70,80,73,7,0.9125,0.85,0.9625,remaining80,rate,,,,,,,,,,
