model_alias,family,score_condition,n,verify_rate,n_wrong,n_correct,frac_errors_verified,frac_correct_verified
anthropic_sonnet5,moderate,hidden,100,0.65,27,73,0.8148148148148148,0.589041095890411
anthropic_sonnet5,moderate,displayed_0.70,100,0.9,27,73,1.0,0.863013698630137
anthropic_sonnet5,moderate,displayed_0.90,100,0.79,27,73,0.9259259259259259,0.7397260273972602
anthropic_sonnet5,moderate,displayed_0.99,100,0.59,27,73,0.8148148148148148,0.5068493150684932
anthropic_sonnet5,stronger,hidden,100,0.71,27,73,0.8888888888888888,0.6438356164383562
anthropic_sonnet5,stronger,displayed_0.70,100,0.93,27,73,1.0,0.9041095890410958
anthropic_sonnet5,stronger,displayed_0.90,100,0.82,27,73,0.9629629629629629,0.7671232876712328
anthropic_sonnet5,stronger,displayed_0.99,100,0.67,27,73,0.8518518518518519,0.6027397260273972
openai_gpt56_sol,moderate,hidden,100,0.35,19,81,0.6842105263157895,0.2716049382716049
openai_gpt56_sol,moderate,displayed_0.70,100,0.59,19,81,0.7368421052631579,0.5555555555555556
openai_gpt56_sol,moderate,displayed_0.90,100,0.2,19,81,0.47368421052631576,0.13580246913580246
openai_gpt56_sol,moderate,displayed_0.99,100,0.07,19,81,0.21052631578947367,0.037037037037037035
openai_gpt56_sol,stronger,hidden,100,0.52,19,81,0.6842105263157895,0.48148148148148145
openai_gpt56_sol,stronger,displayed_0.70,100,0.92,19,81,1.0,0.9012345679012346
openai_gpt56_sol,stronger,displayed_0.90,100,0.4,19,81,0.6842105263157895,0.3333333333333333
openai_gpt56_sol,stronger,displayed_0.99,100,0.16,19,81,0.3157894736842105,0.12345679012345678
