model_alias,family,score_condition,other_n_correct,difficulty_bin,n,verify_rate
anthropic_sonnet5,moderate,hidden,0,hard_0to1,7,0.7142857142857143
anthropic_sonnet5,moderate,hidden,1,hard_0to1,11,0.7272727272727273
anthropic_sonnet5,moderate,hidden,2,medium_2,19,0.9473684210526315
anthropic_sonnet5,moderate,hidden,3,easy_3,63,0.5396825396825397
anthropic_sonnet5,moderate,displayed_0.70,0,hard_0to1,7,1.0
anthropic_sonnet5,moderate,displayed_0.70,1,hard_0to1,11,1.0
anthropic_sonnet5,moderate,displayed_0.70,2,medium_2,19,1.0
anthropic_sonnet5,moderate,displayed_0.70,3,easy_3,63,0.8412698412698413
anthropic_sonnet5,moderate,displayed_0.90,0,hard_0to1,7,1.0
anthropic_sonnet5,moderate,displayed_0.90,1,hard_0to1,11,0.8181818181818182
anthropic_sonnet5,moderate,displayed_0.90,2,medium_2,19,1.0
anthropic_sonnet5,moderate,displayed_0.90,3,easy_3,63,0.6984126984126984
anthropic_sonnet5,moderate,displayed_0.99,0,hard_0to1,7,0.7142857142857143
anthropic_sonnet5,moderate,displayed_0.99,1,hard_0to1,11,0.7272727272727273
anthropic_sonnet5,moderate,displayed_0.99,2,medium_2,19,0.8421052631578947
anthropic_sonnet5,moderate,displayed_0.99,3,easy_3,63,0.47619047619047616
anthropic_sonnet5,stronger,hidden,0,hard_0to1,7,1.0
anthropic_sonnet5,stronger,hidden,1,hard_0to1,11,0.7272727272727273
anthropic_sonnet5,stronger,hidden,2,medium_2,19,1.0
anthropic_sonnet5,stronger,hidden,3,easy_3,63,0.5873015873015873
anthropic_sonnet5,stronger,displayed_0.70,0,hard_0to1,7,1.0
anthropic_sonnet5,stronger,displayed_0.70,1,hard_0to1,11,1.0
anthropic_sonnet5,stronger,displayed_0.70,2,medium_2,19,1.0
anthropic_sonnet5,stronger,displayed_0.70,3,easy_3,63,0.8888888888888888
anthropic_sonnet5,stronger,displayed_0.90,0,hard_0to1,7,1.0
anthropic_sonnet5,stronger,displayed_0.90,1,hard_0to1,11,0.9090909090909091
anthropic_sonnet5,stronger,displayed_0.90,2,medium_2,19,1.0
anthropic_sonnet5,stronger,displayed_0.90,3,easy_3,63,0.7301587301587301
anthropic_sonnet5,stronger,displayed_0.99,0,hard_0to1,7,0.7142857142857143
anthropic_sonnet5,stronger,displayed_0.99,1,hard_0to1,11,0.8181818181818182
anthropic_sonnet5,stronger,displayed_0.99,2,medium_2,19,0.8947368421052632
anthropic_sonnet5,stronger,displayed_0.99,3,easy_3,63,0.5714285714285714
openai_gpt56_sol,moderate,hidden,0,hard_0to1,7,0.7142857142857143
openai_gpt56_sol,moderate,hidden,1,hard_0to1,15,0.6666666666666666
openai_gpt56_sol,moderate,hidden,2,medium_2,19,0.631578947368421
openai_gpt56_sol,moderate,hidden,3,easy_3,59,0.13559322033898305
openai_gpt56_sol,moderate,displayed_0.70,0,hard_0to1,7,0.8571428571428571
openai_gpt56_sol,moderate,displayed_0.70,1,hard_0to1,15,0.8
openai_gpt56_sol,moderate,displayed_0.70,2,medium_2,19,0.8947368421052632
openai_gpt56_sol,moderate,displayed_0.70,3,easy_3,59,0.4067796610169492
openai_gpt56_sol,moderate,displayed_0.90,0,hard_0to1,7,0.42857142857142855
openai_gpt56_sol,moderate,displayed_0.90,1,hard_0to1,15,0.4666666666666667
openai_gpt56_sol,moderate,displayed_0.90,2,medium_2,19,0.42105263157894735
openai_gpt56_sol,moderate,displayed_0.90,3,easy_3,59,0.03389830508474576
openai_gpt56_sol,moderate,displayed_0.99,0,hard_0to1,7,0.14285714285714285
openai_gpt56_sol,moderate,displayed_0.99,1,hard_0to1,15,0.26666666666666666
openai_gpt56_sol,moderate,displayed_0.99,2,medium_2,19,0.10526315789473684
openai_gpt56_sol,moderate,displayed_0.99,3,easy_3,59,0.0
openai_gpt56_sol,stronger,hidden,0,hard_0to1,7,0.7142857142857143
openai_gpt56_sol,stronger,hidden,1,hard_0to1,15,0.7333333333333333
openai_gpt56_sol,stronger,hidden,2,medium_2,19,0.8421052631578947
openai_gpt56_sol,stronger,hidden,3,easy_3,59,0.3389830508474576
openai_gpt56_sol,stronger,displayed_0.70,0,hard_0to1,7,1.0
openai_gpt56_sol,stronger,displayed_0.70,1,hard_0to1,15,1.0
openai_gpt56_sol,stronger,displayed_0.70,2,medium_2,19,1.0
openai_gpt56_sol,stronger,displayed_0.70,3,easy_3,59,0.864406779661017
openai_gpt56_sol,stronger,displayed_0.90,0,hard_0to1,7,0.7142857142857143
openai_gpt56_sol,stronger,displayed_0.90,1,hard_0to1,15,0.6
openai_gpt56_sol,stronger,displayed_0.90,2,medium_2,19,0.631578947368421
openai_gpt56_sol,stronger,displayed_0.90,3,easy_3,59,0.23728813559322035
openai_gpt56_sol,stronger,displayed_0.99,0,hard_0to1,7,0.2857142857142857
openai_gpt56_sol,stronger,displayed_0.99,1,hard_0to1,15,0.3333333333333333
openai_gpt56_sol,stronger,displayed_0.99,2,medium_2,19,0.2631578947368421
openai_gpt56_sol,stronger,displayed_0.99,3,easy_3,59,0.06779661016949153
