source,model_alias,model_label,decision_owner,L,hidden_coverage,hidden_catch,visible_coverage,visible_catch,matched_budget_conf_catch,hidden_minus_conf_catch,hidden_minus_conf_ci_lower,hidden_minus_conf_ci_upper,visible_vs_raw_threshold_agreement,coverage_shift_visible_minus_hidden
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,ai_system,2.0,0.516,0.8604651162790697,0.67,0.9457364341085271,0.7491190979563073,0.11134601832276247,0.03903502141597377,0.18443266315734227,0.41,0.15400000000000003
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,ai_system,5.0,0.56,0.8837209302325582,0.762,0.9689922480620154,0.7801268498942917,0.10359408033826645,0.03253389854104028,0.17146589509972907,0.802,0.20199999999999996
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,ai_system,10.0,0.584,0.8837209302325582,0.79,0.9922480620155039,0.805094130675526,0.07862679955703211,0.012671478379759286,0.14748220040839582,0.922,0.20600000000000007
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,ai_system,20.0,0.646,0.9302325581395349,0.87,0.9922480620155039,0.8578811369509043,0.07235142118863058,0.019344150200659604,0.1281055930895084,0.9,0.22399999999999998
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,human,2.0,0.504,0.8682170542635659,0.632,0.9302325581395349,0.7406624383368569,0.12755461592670903,0.06106870229007633,0.20000183385292503,0.448,0.128
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,human,5.0,0.546,0.875968992248062,0.724,0.9534883720930233,0.770260747004933,0.10570824524312905,0.03736103110599088,0.17132005539263584,0.836,0.17799999999999994
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,human,10.0,0.544,0.8682170542635659,0.746,0.9689922480620154,0.7688513037350246,0.09936575052854124,0.030168649291165858,0.16793917596398517,0.918,0.20199999999999996
checkpoint_A_v2b,anthropic_sonnet5,Claude Sonnet 5,human,20.0,0.598,0.8914728682170543,0.82,0.9844961240310077,0.8188343382141833,0.07263853000287102,0.008739382461975979,0.13980263157894735,0.87,0.22199999999999998
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,ai_system,2.0,0.06,0.2833333333333333,0.04,0.25,0.3,-0.016666666666666663,-0.09433962264150947,0.0735430283224399,0.996,-0.019999999999999997
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,ai_system,5.0,0.098,0.45,0.078,0.3333333333333333,0.3949999999999999,0.055000000000000104,-0.025271861205515868,0.13910055036041305,0.996,-0.020000000000000004
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,ai_system,10.0,0.09,0.4166666666666667,0.22,0.7,0.37499999999999994,0.04166666666666674,-0.04255319148936171,0.1251174736508252,0.99,0.13
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,ai_system,20.0,0.106,0.4166666666666667,0.27,0.7666666666666667,0.41500000000000004,0.0016666666666666496,-0.09059707015060113,0.08632609373281014,0.798,0.16400000000000003
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,human,2.0,0.062,0.31666666666666665,0.04,0.21666666666666667,0.31666666666666665,0.0,-0.07905249994417274,0.1111111111111111,0.996,-0.022
checkpoint_A_v2b,google_gemini38_flash,Gemini 3.8 Flash,human,5.0,0.066,0.2833333333333333,0.086,0.35,0.31666666666666665,-0.033333333333333326,-0.1111111111111111,0.06263227513227483,0.988,0.01999999999999999
