source,model_alias,model_label,L,display_condition,displayed_confidence,n,n_wrong,verify_rate,tpr,fpr
study1_numeric,anthropic_sonnet5,Claude,10.0,hidden,,100,27,0.57,0.8148148148148148,0.4794520547945205
study1_numeric,anthropic_sonnet5,Claude,10.0,manipulated_1,0.8,100,27,0.86,0.9629629629629629,0.821917808219178
study1_numeric,anthropic_sonnet5,Claude,10.0,manipulated_2,0.88,100,27,0.8,0.8888888888888888,0.7671232876712328
study1_numeric,anthropic_sonnet5,Claude,10.0,manipulated_3,0.89,100,27,0.79,0.9259259259259259,0.7397260273972602
study1_numeric,anthropic_sonnet5,Claude,10.0,manipulated_4,0.91,100,27,0.72,0.8518518518518519,0.6712328767123288
study1_numeric,anthropic_sonnet5,Claude,10.0,manipulated_5,0.99,100,27,0.5,0.8148148148148148,0.3835616438356164
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.05,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.1,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.3,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.35,3,1,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.4,3,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.55,8,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.6,14,6,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.65,4,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.7,6,3,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.72,15,4,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.75,5,1,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.8,4,0,1.0,nan,1.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.85,15,3,0.9333333333333333,1.0,0.9166666666666666
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.9,6,0,0.3333333333333333,nan,0.3333333333333333
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.92,1,0,0.0,nan,0.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.93,1,0,0.0,nan,0.0
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.95,4,0,0.25,nan,0.25
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.97,6,0,0.3333333333333333,nan,0.3333333333333333
study1_numeric,anthropic_sonnet5,Claude,10.0,true_confidence_visible,0.98,2,0,0.0,nan,0.0
study1_numeric,anthropic_sonnet5,Claude,20.0,hidden,,100,27,0.65,0.8518518518518519,0.5753424657534246
study1_numeric,anthropic_sonnet5,Claude,20.0,manipulated_1,0.9,100,27,0.9,1.0,0.863013698630137
study1_numeric,anthropic_sonnet5,Claude,20.0,manipulated_2,0.93,100,27,0.8,0.9259259259259259,0.7534246575342466
study1_numeric,anthropic_sonnet5,Claude,20.0,manipulated_3,0.94,100,27,0.77,0.8888888888888888,0.726027397260274
study1_numeric,anthropic_sonnet5,Claude,20.0,manipulated_4,0.96,100,27,0.7,0.8888888888888888,0.6301369863013698
study1_numeric,anthropic_sonnet5,Claude,20.0,manipulated_5,0.99,100,27,0.62,0.9259259259259259,0.5068493150684932
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.05,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.1,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.3,1,1,1.0,1.0,nan
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.35,3,1,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.4,3,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.55,8,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.6,14,6,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.65,4,2,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.7,6,3,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.72,15,4,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.75,5,1,1.0,1.0,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.8,4,0,1.0,nan,1.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.85,15,3,0.8666666666666667,0.6666666666666666,0.9166666666666666
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.9,6,0,0.5,nan,0.5
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.92,1,0,0.0,nan,0.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.93,1,0,0.0,nan,0.0
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.95,4,0,0.25,nan,0.25
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.97,6,0,0.3333333333333333,nan,0.3333333333333333
study1_numeric,anthropic_sonnet5,Claude,20.0,true_confidence_visible,0.98,2,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,hidden,,100,19,0.32,0.631578947368421,0.24691358024691357
study1_numeric,openai_gpt56_sol,GPT,10.0,manipulated_1,0.8,100,19,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,manipulated_2,0.88,100,19,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,manipulated_3,0.89,100,19,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,manipulated_4,0.91,100,19,0.04,0.10526315789473684,0.024691358024691357
study1_numeric,openai_gpt56_sol,GPT,10.0,manipulated_5,0.99,100,19,0.0,0.0,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.03,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.04,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.22,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.62,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.78,2,1,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.83,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.86,2,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.88,3,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.89,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.9,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.91,1,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.92,3,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.93,7,3,0.0,0.0,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.95,1,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.96,2,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.97,5,1,0.0,0.0,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.98,17,4,0.0,0.0,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.99,47,6,0.0,0.0,0.0
study1_numeric,openai_gpt56_sol,GPT,10.0,true_confidence_visible,0.999,3,0,0.0,nan,0.0
study1_numeric,openai_gpt56_sol,GPT,20.0,hidden,,100,19,0.33,0.631578947368421,0.25925925925925924
study1_numeric,openai_gpt56_sol,GPT,20.0,manipulated_1,0.9,100,19,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,manipulated_2,0.93,100,19,0.97,1.0,0.9629629629629629
study1_numeric,openai_gpt56_sol,GPT,20.0,manipulated_3,0.94,100,19,0.97,0.9473684210526315,0.9753086419753086
study1_numeric,openai_gpt56_sol,GPT,20.0,manipulated_4,0.96,100,19,0.02,0.05263157894736842,0.012345679012345678
study1_numeric,openai_gpt56_sol,GPT,20.0,manipulated_5,0.99,100,19,0.02,0.10526315789473684,0.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.03,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.04,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.22,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.62,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.78,2,1,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.83,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.86,2,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.88,3,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.89,1,1,1.0,1.0,nan
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.9,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.91,1,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.92,3,0,1.0,nan,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.93,7,3,1.0,1.0,1.0
study1_numeric,openai_gpt56_sol,GPT,20.0,true_confidence_visible,0.95,1,0,0.0,nan,0.0
