model_alias,model_label,budget,router,catch_frac,n,n_wrong
openai_gpt56_sol,GPT,0.1,random,0.12941176470588237,500,85
openai_gpt56_sol,GPT,0.1,raw_q1,0.23823529411764705,500,85
openai_gpt56_sol,GPT,0.1,hidden,0.196078431372549,500,85
openai_gpt56_sol,GPT,0.1,q1_plus_hidden,0.23529411764705882,500,85
openai_gpt56_sol,GPT,0.1,hindsight_oracle,0.5882352941176471,500,85
openai_gpt56_sol,GPT,0.2,random,0.21176470588235294,500,85
openai_gpt56_sol,GPT,0.2,raw_q1,0.43576470588235294,500,85
openai_gpt56_sol,GPT,0.2,hidden,0.392156862745098,500,85
openai_gpt56_sol,GPT,0.2,q1_plus_hidden,0.4202614379084968,500,85
openai_gpt56_sol,GPT,0.2,hindsight_oracle,1.0,500,85
openai_gpt56_sol,GPT,0.3,random,0.36470588235294116,500,85
openai_gpt56_sol,GPT,0.3,raw_q1,0.5013282732447818,500,85
openai_gpt56_sol,GPT,0.3,hidden,0.5882352941176471,500,85
openai_gpt56_sol,GPT,0.3,q1_plus_hidden,0.6114135206321334,500,85
openai_gpt56_sol,GPT,0.3,hindsight_oracle,1.0,500,85
openai_gpt56_sol,GPT,0.4,random,0.43529411764705883,500,85
openai_gpt56_sol,GPT,0.4,raw_q1,0.6194373401534526,500,85
openai_gpt56_sol,GPT,0.4,hidden,0.7779509154655239,500,85
openai_gpt56_sol,GPT,0.4,q1_plus_hidden,0.7764705882352941,500,85
openai_gpt56_sol,GPT,0.4,hindsight_oracle,1.0,500,85
openai_gpt56_sol,GPT,0.5,random,0.5058823529411764,500,85
openai_gpt56_sol,GPT,0.5,raw_q1,0.6940216086434574,500,85
openai_gpt56_sol,GPT,0.5,hidden,0.8149590962212698,500,85
openai_gpt56_sol,GPT,0.5,q1_plus_hidden,0.8660633484162895,500,85
openai_gpt56_sol,GPT,0.5,hindsight_oracle,1.0,500,85
anthropic_sonnet5,Claude,0.1,random,0.10743801652892562,500,121
anthropic_sonnet5,Claude,0.1,raw_q1,0.24834710743801652,500,121
anthropic_sonnet5,Claude,0.1,hidden,0.13521368817448884,500,121
anthropic_sonnet5,Claude,0.1,q1_plus_hidden,0.24931129476584024,500,121
anthropic_sonnet5,Claude,0.1,hindsight_oracle,0.41322314049586784,500,121
anthropic_sonnet5,Claude,0.2,random,0.18181818181818182,500,121
anthropic_sonnet5,Claude,0.2,raw_q1,0.4042400287459576,500,121
anthropic_sonnet5,Claude,0.2,hidden,0.2704273763489777,500,121
anthropic_sonnet5,Claude,0.2,q1_plus_hidden,0.40708740295517154,500,121
anthropic_sonnet5,Claude,0.2,hindsight_oracle,0.8264462809917357,500,121
anthropic_sonnet5,Claude,0.3,random,0.32231404958677684,500,121
anthropic_sonnet5,Claude,0.3,raw_q1,0.551948051948052,500,121
anthropic_sonnet5,Claude,0.3,hidden,0.4056410645234666,500,121
anthropic_sonnet5,Claude,0.3,q1_plus_hidden,0.5375494071146245,500,121
anthropic_sonnet5,Claude,0.3,hindsight_oracle,1.0,500,121
anthropic_sonnet5,Claude,0.4,random,0.34710743801652894,500,121
anthropic_sonnet5,Claude,0.4,raw_q1,0.6371798796041219,500,121
anthropic_sonnet5,Claude,0.4,hidden,0.5408547526979554,500,121
anthropic_sonnet5,Claude,0.4,q1_plus_hidden,0.6301652892561983,500,121
anthropic_sonnet5,Claude,0.4,hindsight_oracle,1.0,500,121
anthropic_sonnet5,Claude,0.5,random,0.4793388429752066,500,121
anthropic_sonnet5,Claude,0.5,raw_q1,0.7341087644117947,500,121
anthropic_sonnet5,Claude,0.5,hidden,0.6760684408724442,500,121
anthropic_sonnet5,Claude,0.5,q1_plus_hidden,0.7306536438767843,500,121
anthropic_sonnet5,Claude,0.5,hindsight_oracle,1.0,500,121
