model_alias,model_label,score_condition,n,coverage,n_wrong,errors_caught_frac,residual_risk,frac_correct_verified
openai_gpt56_sol,GPT,hidden,500,0.396,85,0.7764705882352941,0.038,0.3180722891566265
openai_gpt56_sol,GPT,true_q_visible,500,0.124,85,0.29411764705882354,0.12,0.0891566265060241
openai_gpt56_sol,GPT,displayed_0.70,500,0.584,85,0.8823529411764706,0.02,0.5228915662650603
openai_gpt56_sol,GPT,displayed_0.85,500,0.228,85,0.5058823529411764,0.084,0.1710843373493976
openai_gpt56_sol,GPT,displayed_0.90,500,0.18,85,0.4,0.102,0.13493975903614458
openai_gpt56_sol,GPT,displayed_0.95,500,0.144,85,0.32941176470588235,0.114,0.10602409638554217
openai_gpt56_sol,GPT,displayed_0.99,500,0.082,85,0.18823529411764706,0.138,0.060240963855421686
anthropic_sonnet5,Claude,hidden,500,0.654,121,0.8842975206611571,0.028,0.5804749340369393
anthropic_sonnet5,Claude,true_q_visible,500,0.794,121,0.9586776859504132,0.01,0.741424802110818
anthropic_sonnet5,Claude,displayed_0.70,500,0.924,121,1.0,0.0,0.899736147757256
anthropic_sonnet5,Claude,displayed_0.85,500,0.8,121,0.9504132231404959,0.012,0.7519788918205804
anthropic_sonnet5,Claude,displayed_0.90,500,0.776,121,0.9421487603305785,0.014,0.7229551451187335
anthropic_sonnet5,Claude,displayed_0.95,500,0.646,121,0.9008264462809917,0.024,0.5646437994722955
anthropic_sonnet5,Claude,displayed_0.99,500,0.57,121,0.8429752066115702,0.038,0.48284960422163586
google_gemini38_flash,Gemini,hidden,200,0.105,18,0.5555555555555556,0.04,0.06043956043956044
google_gemini38_flash,Gemini,true_q_visible,200,0.095,18,0.4444444444444444,0.05,0.06043956043956044
google_gemini38_flash,Gemini,displayed_0.70,200,0.205,18,0.7222222222222222,0.025,0.15384615384615385
google_gemini38_flash,Gemini,displayed_0.85,200,0.085,18,0.4444444444444444,0.05,0.04945054945054945
google_gemini38_flash,Gemini,displayed_0.90,200,0.09,18,0.4444444444444444,0.05,0.054945054945054944
google_gemini38_flash,Gemini,displayed_0.95,200,0.08,18,0.4444444444444444,0.05,0.04395604395604396
google_gemini38_flash,Gemini,displayed_0.99,200,0.07,18,0.3888888888888889,0.055,0.038461538461538464
xai_grok420_nonreasoning,Grok,hidden,200,1.0,66,1.0,0.0,1.0
xai_grok420_nonreasoning,Grok,true_q_visible,200,0.985,66,0.9848484848484849,0.005,0.9850746268656716
xai_grok420_nonreasoning,Grok,displayed_0.70,200,1.0,66,1.0,0.0,1.0
xai_grok420_nonreasoning,Grok,displayed_0.85,200,0.995,66,1.0,0.0,0.9925373134328358
xai_grok420_nonreasoning,Grok,displayed_0.90,200,0.99,66,1.0,0.0,0.9850746268656716
xai_grok420_nonreasoning,Grok,displayed_0.95,200,0.975,66,0.9848484848484849,0.005,0.9701492537313433
xai_grok420_nonreasoning,Grok,displayed_0.99,200,0.905,66,0.9545454545454546,0.015,0.8805970149253731
