model_alias,model_label,score,score_condition,observed_coverage,observed_binary_auroc,predicted_shared_ranking_auroc,predicted_lo,predicted_hi,residual_obs_minus_pred,n,n_wrong
openai_gpt56_sol,GPT,0.7,displayed_0.70,0.584,0.6797306874557052,0.5863862508858965,0.5331679659815733,0.6338766832034018,0.09334443656980873,500,85
openai_gpt56_sol,GPT,0.85,displayed_0.85,0.228,0.6673990077958895,0.5750970942593905,0.5172218284904323,0.6296952515946137,0.09230191353649897,500,85
openai_gpt56_sol,GPT,0.9,displayed_0.90,0.18,0.6325301204819277,0.566107725017718,0.5143160878809355,0.6148830616583983,0.0664223954642097,500,85
openai_gpt56_sol,GPT,0.95,displayed_0.95,0.144,0.6116938341601701,0.5567103118355776,0.5088589652728562,0.6044649184975195,0.05498352232459247,500,85
openai_gpt56_sol,GPT,0.99,displayed_0.99,0.082,0.5639971651311126,0.5371948972360028,0.4988660524450745,0.5780297661233168,0.026802267895109866,500,85
anthropic_sonnet5,Claude,0.7,displayed_0.70,0.924,0.550131926121372,0.5151100928934342,0.49033995507970085,0.537735231906496,0.035021833227937726,500,121
anthropic_sonnet5,Claude,0.85,displayed_0.85,0.8,0.5992171656599578,0.5385720905383894,0.5007414029961405,0.5711637846442357,0.06064507512156836,500,121
anthropic_sonnet5,Claude,0.9,displayed_0.90,0.776,0.6095968076059225,0.5410622233367497,0.5046991866373013,0.5752196951525328,0.0685345842691728,500,121
anthropic_sonnet5,Claude,0.95,displayed_0.95,0.646,0.6680913234043481,0.5622251084847031,0.5157984256089317,0.6069800911489567,0.10586621491964499,500,121
anthropic_sonnet5,Claude,0.99,displayed_0.99,0.57,0.6800628011949671,0.5688201061950762,0.523114328703199,0.6186026734119802,0.11124269499989092,500,121
