model_alias,model_label,score_condition,n,coverage,n_wrong,tpr_incorrect,fpr_correct,binary_auroc
openai_gpt56_sol,GPT,hidden,286,0.32517482517482516,153,0.5163398692810458,0.10526315789473684,0.7055383556931544
openai_gpt56_sol,GPT,true_q_visible,286,0.2727272727272727,153,0.4444444444444444,0.07518796992481203,0.6846282372598163
openai_gpt56_sol,GPT,displayed_0.70,286,0.6293706293706294,153,0.7973856209150327,0.43609022556390975,0.6806476976755615
openai_gpt56_sol,GPT,displayed_0.85,286,0.44405594405594406,153,0.6470588235294118,0.21052631578947367,0.718266253869969
openai_gpt56_sol,GPT,displayed_0.90,286,0.3776223776223776,153,0.6013071895424836,0.12030075187969924,0.7405032188313923
openai_gpt56_sol,GPT,displayed_0.95,286,0.2902097902097902,153,0.477124183006536,0.07518796992481203,0.7009681065408621
openai_gpt56_sol,GPT,displayed_0.99,286,0.24125874125874125,153,0.38562091503267976,0.07518796992481203,0.6552164725539338
anthropic_sonnet5,Claude,hidden,286,0.986013986013986,163,0.9938650306748467,0.975609756097561,0.5091276372886429
anthropic_sonnet5,Claude,true_q_visible,286,0.9790209790209791,163,0.9754601226993865,0.983739837398374,0.49586014265050626
anthropic_sonnet5,Claude,displayed_0.70,286,0.9965034965034965,163,1.0,0.991869918699187,0.5040650406504066
anthropic_sonnet5,Claude,displayed_0.85,286,0.993006993006993,163,0.9938650306748467,0.991869918699187,0.5009975559878298
anthropic_sonnet5,Claude,displayed_0.90,286,0.986013986013986,163,0.9815950920245399,0.991869918699187,0.49486258666267646
anthropic_sonnet5,Claude,displayed_0.95,286,0.9755244755244755,163,0.9754601226993865,0.975609756097561,0.4999251833009128
anthropic_sonnet5,Claude,displayed_0.99,286,0.9475524475524476,163,0.9754601226993865,0.9105691056910569,0.5324455085041648
