model_alias,model_label,score_condition,n_questions,verify_rate,ci_lo,ci_hi,replication_label
openai_gpt56_sol,GPT,hidden,286,0.32517482517482516,0.2692307692307692,0.3811188811188811,
openai_gpt56_sol,GPT,true_q_visible,286,0.2727272727272727,0.2202797202797203,0.32517482517482516,
openai_gpt56_sol,GPT,displayed_0.70,286,0.6293706293706294,0.5734265734265734,0.6853146853146853,
openai_gpt56_sol,GPT,displayed_0.85,286,0.44405594405594406,0.3881118881118881,0.5034965034965035,
openai_gpt56_sol,GPT,displayed_0.90,286,0.3776223776223776,0.32167832167832167,0.43356643356643354,
openai_gpt56_sol,GPT,displayed_0.95,286,0.2902097902097902,0.23776223776223776,0.34265734265734266,
openai_gpt56_sol,GPT,displayed_0.99,286,0.24125874125874125,0.19230769230769232,0.2902097902097902,
openai_gpt56_sol,GPT,H1_0.70_minus_0.99,286,0.3881118881118881,0.3321678321678322,0.44755244755244755,large_replication
anthropic_sonnet5,Claude,hidden,286,0.986013986013986,0.972027972027972,0.9965034965034965,
anthropic_sonnet5,Claude,true_q_visible,286,0.9790209790209791,0.9615384615384616,0.993006993006993,
anthropic_sonnet5,Claude,displayed_0.70,286,0.9965034965034965,0.9895104895104895,1.0,
anthropic_sonnet5,Claude,displayed_0.85,286,0.993006993006993,0.9825174825174825,1.0,
anthropic_sonnet5,Claude,displayed_0.90,286,0.986013986013986,0.972027972027972,0.9965034965034965,
anthropic_sonnet5,Claude,displayed_0.95,286,0.9755244755244755,0.9545454545454546,0.993006993006993,
anthropic_sonnet5,Claude,displayed_0.99,286,0.9475524475524476,0.9195804195804196,0.972027972027972,
anthropic_sonnet5,Claude,H1_0.70_minus_0.99,286,0.04895104895104895,0.024475524475524476,0.07692307692307693,weak_or_none
