question_id,question_title,platform,contest_id,contest_date,difficulty,starter_code_present,n_public_tests,n_private_tests,source_file,eligible,exclusion_reason,errata,python_compatible,release
1873_A,A. Short Sort,codeforces,1873,2023-08-21T00:00:00,easy,False,1,4,test.jsonl,0,not_medium_or_hard,0,1,release_v6
1873_B,B. Good Kid,codeforces,1873,2023-08-21T00:00:00,easy,False,1,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
1873_D,D. 1D Eraser,codeforces,1873,2023-08-21T00:00:00,easy,False,1,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
1883_B,B. Chemistry,codeforces,1883,2023-09-22T00:00:00,medium,False,1,3,test.jsonl,1,,0,1,release_v6
1883_C,C. Raspberries,codeforces,1883,2023-09-22T00:00:00,medium,False,1,12,test.jsonl,1,,0,1,release_v6
1899_A,A. Game with Integers,codeforces,1899,2023-10-17T00:00:00,easy,False,1,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
1899_B,B. 250 Thousand Tons of TNT,codeforces,1899,2023-10-17T00:00:00,hard,False,1,12,test.jsonl,1,,0,1,release_v6
1899_C,C. Yarik and Array,codeforces,1899,2023-10-17T00:00:00,hard,False,1,12,test.jsonl,1,,0,1,release_v6
1899_D,D. Yarik and Musical Notes,codeforces,1899,2023-10-17T00:00:00,hard,False,1,12,test.jsonl,1,,0,1,release_v6
2727,number-of-senior-citizens,leetcode,biweekly-contest-104,2023-05-13T00:00:00,easy,True,2,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
2728,sum-in-a-matrix,leetcode,biweekly-contest-104,2023-05-13T00:00:00,medium,True,2,12,test.jsonl,1,,0,1,release_v6
2730,maximum-or,leetcode,biweekly-contest-104,2023-05-13T00:00:00,medium,True,2,12,test.jsonl,1,,0,1,release_v6
2754,maximum-strength-of-a-group,leetcode,biweekly-contest-105,2023-05-27T00:00:00,medium,True,2,12,test.jsonl,1,,0,1,release_v6
2755,extra-characters-in-a-string,leetcode,biweekly-contest-105,2023-05-27T00:00:00,medium,True,2,12,test.jsonl,1,,0,1,release_v6
2756,buy-two-chocolates,leetcode,biweekly-contest-105,2023-05-27T00:00:00,easy,True,2,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
2757,count-of-integers,leetcode,weekly-contest-348,2023-06-04T00:00:00,hard,True,2,12,test.jsonl,1,,0,1,release_v6
2777,find-the-distinct-difference-array,leetcode,weekly-contest-344,2023-05-07T00:00:00,easy,True,2,12,test.jsonl,0,not_medium_or_hard,0,1,release_v6
2779,number-of-adjacent-elements-with-the-same-color,leetcode,weekly-contest-344,2023-05-07T00:00:00,medium,True,2,12,test.jsonl,1,,0,1,release_v6
