model_alias,model_label,budget,router,bug_catch_rate,precision_among_verified,residual_bug_rate_unverified,bugs_per_call,n,n_wrong
openai_gpt56_sol,GPT,0.1,random,0.1111111111111111,0.5862068965517241,0.5291828793774319,0.5862068965517241,286,153
openai_gpt56_sol,GPT,0.1,raw_q1,0.18692810457516343,1.0,0.4832944832944833,1.0,286,153
openai_gpt56_sol,GPT,0.1,calibrated_q1,0.1748682268606367,0.9354838709677419,0.49046294207584534,0.9354838709677419,286,153
openai_gpt56_sol,GPT,0.1,hidden,0.15878838990793448,0.849462365591398,0.5000208871176614,0.849462365591398,286,153
openai_gpt56_sol,GPT,0.1,q1_plus_hidden,0.18692810457516343,1.0,0.4832944832944833,1.0,286,153
openai_gpt56_sol,GPT,0.1,hindsight_oracle,0.18692810457516337,1.0,0.4832944832944834,1.0,286,153
openai_gpt56_sol,GPT,0.2,random,0.1895424836601307,0.5087719298245614,0.5414847161572053,0.5087719298245614,286,153
openai_gpt56_sol,GPT,0.2,raw_q1,0.3607843137254902,0.965034965034965,0.4274475524475524,0.965034965034965,286,153
openai_gpt56_sol,GPT,0.2,calibrated_q1,0.3607843137254902,0.965034965034965,0.4274475524475524,0.965034965034965,286,153
openai_gpt56_sol,GPT,0.2,hidden,0.31757677981586896,0.849462365591398,0.4563407023084442,0.849462365591398,286,153
openai_gpt56_sol,GPT,0.2,q1_plus_hidden,0.35163398692810455,0.9405594405594405,0.43356643356643354,0.9405594405594405,286,153
openai_gpt56_sol,GPT,0.2,hindsight_oracle,0.37385620915032675,1.0,0.41870629370629375,1.0,286,153
openai_gpt56_sol,GPT,0.3,random,0.3006535947712418,0.5348837209302325,0.535,0.5348837209302325,286,153
openai_gpt56_sol,GPT,0.3,raw_q1,0.4503461345090305,0.8030647853133062,0.42006514195863304,0.8030647853133062,286,153
openai_gpt56_sol,GPT,0.3,calibrated_q1,0.4380329909741675,0.7811077811077811,0.42947528661814377,0.7811077811077811,286,153
openai_gpt56_sol,GPT,0.3,hidden,0.47636516972380355,0.8494623655913978,0.40018046469659374,0.8494623655913978,286,153
openai_gpt56_sol,GPT,0.3,q1_plus_hidden,0.47478500171998617,0.8466445834866887,0.401388085598612,0.8466445834866887,286,153
openai_gpt56_sol,GPT,0.3,hindsight_oracle,0.5607843137254903,1.0,0.3356643356643356,1.0,286,153
openai_gpt56_sol,GPT,0.4,random,0.39869281045751637,0.5350877192982456,0.5348837209302325,0.5350877192982456,286,153
openai_gpt56_sol,GPT,0.4,raw_q1,0.524453726263681,0.7014110150204825,0.4240010482614033,0.7014110150204825,286,153
openai_gpt56_sol,GPT,0.4,calibrated_q1,0.5090650753054845,0.6808300395256918,0.4377216985912638,0.6808300395256918,286,153
openai_gpt56_sol,GPT,0.4,hidden,0.5699685055369298,0.7622830537338309,0.383419689119171,0.7622830537338309,286,153
openai_gpt56_sol,GPT,0.4,q1_plus_hidden,0.5795729847494554,0.7751282051282052,0.3748562548562548,0.7751282051282052,286,153
openai_gpt56_sol,GPT,0.4,hindsight_oracle,0.7477124183006535,1.0,0.22494172494172496,1.0,286,153
openai_gpt56_sol,GPT,0.5,random,0.5032679738562091,0.5384615384615384,0.5314685314685315,0.5384615384615384,286,153
openai_gpt56_sol,GPT,0.5,raw_q1,0.5985613180183316,0.6404187528447882,0.4295113170852817,0.6404187528447882,286,153
openai_gpt56_sol,GPT,0.5,calibrated_q1,0.5781472009093492,0.6185770750988142,0.4513529948312557,0.6185770750988142,286,153
openai_gpt56_sol,GPT,0.5,hidden,0.6416404212807748,0.6865103808108989,0.383419689119171,0.6865103808108989,286,153
openai_gpt56_sol,GPT,0.5,q1_plus_hidden,0.6456209150326797,0.6907692307692308,0.37916083916083915,0.6907692307692308,286,153
openai_gpt56_sol,GPT,0.5,hindsight_oracle,0.934640522875817,1.0,0.06993006993006994,1.0,286,153
anthropic_sonnet5,Claude,0.1,random,0.09202453987730061,0.5172413793103449,0.5758754863813229,0.5172413793103449,286,163
anthropic_sonnet5,Claude,0.1,raw_q1,0.1725009022013713,0.9831345125462772,0.5240184651949358,0.9831345125462772,286,163
anthropic_sonnet5,Claude,0.1,calibrated_q1,0.16932515337423315,0.965034965034965,0.5260295260295261,0.965034965034965,286,163
anthropic_sonnet5,Claude,0.1,hidden,0.10079624069964757,0.574468085106383,0.5694258460215907,0.574468085106383,286,163
anthropic_sonnet5,Claude,0.1,q1_plus_hidden,0.1725009022013713,0.9831345125462772,0.5240184651949358,0.9831345125462772,286,163
anthropic_sonnet5,Claude,0.1,hindsight_oracle,0.17546012269938652,1.0,0.5221445221445222,1.0,286,163
anthropic_sonnet5,Claude,0.2,random,0.22699386503067484,0.6491228070175439,0.5502183406113537,0.6491228070175439,286,163
anthropic_sonnet5,Claude,0.2,raw_q1,0.33938650306748464,0.9671328671328671,0.47062937062937066,0.9671328671328671,286,163
anthropic_sonnet5,Claude,0.2,calibrated_q1,0.3393865030674847,0.967132867132867,0.4706293706293707,0.967132867132867,286,163
anthropic_sonnet5,Claude,0.2,hidden,0.20159248139929514,0.574468085106383,0.5687955661359917,0.574468085106383,286,163
anthropic_sonnet5,Claude,0.2,q1_plus_hidden,0.33938650306748464,0.9671328671328671,0.47062937062937066,0.9671328671328671,286,163
anthropic_sonnet5,Claude,0.2,hindsight_oracle,0.35092024539877303,1.0,0.4624125874125874,1.0,286,163
anthropic_sonnet5,Claude,0.3,random,0.2822085889570552,0.5348837209302325,0.585,0.5348837209302325,286,163
anthropic_sonnet5,Claude,0.3,raw_q1,0.46062793215445685,0.8750856986151102,0.43914908620790977,0.8750856986151102,286,163
anthropic_sonnet5,Claude,0.3,calibrated_q1,0.4458895705521473,0.847086247086247,0.4511488511488511,0.847086247086247,286,163
anthropic_sonnet5,Claude,0.3,hidden,0.30238872209894274,0.574468085106383,0.5679852062830786,0.574468085106383,286,163
anthropic_sonnet5,Claude,0.3,q1_plus_hidden,0.46062793215445685,0.8750856986151102,0.43914908620790977,0.8750856986151102,286,163
anthropic_sonnet5,Claude,0.3,hindsight_oracle,0.5263803680981594,1.0,0.38561438561438566,1.0,286,163
anthropic_sonnet5,Claude,0.4,random,0.4049079754601227,0.5789473684210527,0.563953488372093,0.5789473684210527,286,163
anthropic_sonnet5,Claude,0.4,raw_q1,0.5798422436459247,0.8261738261738263,0.399100899100899,0.8261738261738263,286,163
anthropic_sonnet5,Claude,0.4,calibrated_q1,0.5590184049079755,0.7965034965034965,0.41888111888111884,0.7965034965034965,286,163
anthropic_sonnet5,Claude,0.4,hidden,0.4031849627985903,0.574468085106383,0.5669047264791944,0.574468085106383,286,163
anthropic_sonnet5,Claude,0.4,q1_plus_hidden,0.5798422436459247,0.8261738261738263,0.399100899100899,0.8261738261738263,286,163
anthropic_sonnet5,Claude,0.4,hindsight_oracle,0.7018404907975461,1.0,0.2832167832167832,1.0,286,163
anthropic_sonnet5,Claude,0.5,random,0.4723926380368098,0.5384615384615384,0.6013986013986014,0.5384615384615384,286,163
anthropic_sonnet5,Claude,0.5,raw_q1,0.6687116564417178,0.7622377622377622,0.3776223776223776,0.7622377622377622,286,163
anthropic_sonnet5,Claude,0.5,calibrated_q1,0.6482617586912066,0.738927738927739,0.4009324009324009,0.738927738927739,286,163
anthropic_sonnet5,Claude,0.5,hidden,0.5039812034982379,0.574468085106383,0.5653920547537568,0.574468085106383,286,163
anthropic_sonnet5,Claude,0.5,q1_plus_hidden,0.6687116564417178,0.7622377622377622,0.3776223776223776,0.7622377622377622,286,163
anthropic_sonnet5,Claude,0.5,hindsight_oracle,0.8773006134969326,1.0,0.13986013986013987,1.0,286,163
