question_id,difficulty,platform,contest_date,contest_id,sample_order,release
1899_B,hard,codeforces,2023-10-17T00:00:00,1899,0,release_v6
1899_D,hard,codeforces,2023-10-17T00:00:00,1899,1,release_v6
2808,hard,leetcode,2023-06-18T00:00:00,weekly-contest-350,2,release_v6
2849,hard,leetcode,2023-07-02T00:00:00,weekly-contest-352,3,release_v6
2879,hard,leetcode,2023-10-22T00:00:00,weekly-contest-368,4,release_v6
2919,hard,leetcode,2023-07-23T00:00:00,weekly-contest-355,5,release_v6
2952,hard,leetcode,2023-08-05T00:00:00,biweekly-contest-110,6,release_v6
3017,hard,leetcode,2023-08-19T00:00:00,biweekly-contest-111,7,release_v6
3153,hard,leetcode,2023-10-08T00:00:00,weekly-contest-366,8,release_v6
3196,hard,leetcode,2023-12-16T00:00:00,weekly-contest-376,9,release_v6
3203,hard,leetcode,2023-12-30T00:00:00,weekly-contest-378,10,release_v6
3211,hard,leetcode,2023-11-25T00:00:00,biweekly-contest-118,11,release_v6
3212,hard,leetcode,2023-12-09T00:00:00,weekly-contest-375,12,release_v6
3224,hard,leetcode,2023-12-02T00:00:00,weekly-contest-374,13,release_v6
3243,hard,leetcode,2024-01-06T00:00:00,biweekly-contest-121,14,release_v6
3261,hard,leetcode,2024-01-27T00:00:00,weekly-contest-382,15,release_v6
3313,hard,leetcode,2024-03-09T00:00:00,weekly-contest-388,16,release_v6
3316,hard,leetcode,2024-03-30T00:00:00,biweekly-contest-127,17,release_v6
3327,hard,leetcode,2024-03-16T00:00:00,weekly-contest-389,18,release_v6
3344,hard,leetcode,2024-03-30T00:00:00,weekly-contest-391,19,release_v6
3345,hard,leetcode,2024-03-16T00:00:00,biweekly-contest-126,20,release_v6
3362,hard,leetcode,2024-04-27T00:00:00,weekly-contest-395,21,release_v6
3364,hard,leetcode,2024-04-13T00:00:00,weekly-contest-393,22,release_v6
3382,hard,leetcode,2024-04-13T00:00:00,biweekly-contest-128,23,release_v6
3402,hard,leetcode,2024-05-04T00:00:00,weekly-contest-396,24,release_v6
3414,hard,leetcode,2024-05-18T00:00:00,weekly-contest-398,25,release_v6
3423,hard,leetcode,2024-05-25T00:00:00,weekly-contest-399,26,release_v6
3438,hard,leetcode,2024-06-15T00:00:00,weekly-contest-402,27,release_v6
3439,hard,leetcode,2024-06-29T00:00:00,weekly-contest-404,28,release_v6
3454,hard,leetcode,2024-07-20T00:00:00,weekly-contest-407,29,release_v6
3460,hard,leetcode,2024-06-22T00:00:00,biweekly-contest-133,30,release_v6
3478,hard,leetcode,2024-07-27T00:00:00,weekly-contest-408,31,release_v6
3482,hard,leetcode,2024-07-06T00:00:00,weekly-contest-405,32,release_v6
3527,hard,leetcode,2024-08-03T00:00:00,weekly-contest-409,33,release_v6
3531,hard,leetcode,2024-08-31T07:30:00,biweekly-contest-138,34,release_v6
3532,hard,leetcode,2024-08-03T00:00:00,biweekly-contest-136,35,release_v6
3535,hard,leetcode,2024-08-10T00:00:00,weekly-contest-410,36,release_v6
3548,hard,leetcode,2024-08-31T07:30:00,biweekly-contest-138,37,release_v6
3550,hard,leetcode,2024-08-17T07:30:00,biweekly-contest-137,38,release_v6
3551,hard,leetcode,2024-08-31T19:30:00,weekly-contest-413,39,release_v6
3552,hard,leetcode,2024-08-17T19:30:00,weekly-contest-411,40,release_v6
3560,hard,leetcode,2024-09-07T19:30:00,weekly-contest-414,41,release_v6
3562,hard,leetcode,2025-01-04T18:30:00,weekly-contest-431,42,release_v6
3563,hard,leetcode,2024-08-31T19:30:00,weekly-contest-413,43,release_v6
3571,hard,leetcode,2024-09-14T07:30:00,biweekly-contest-139,44,release_v6
3575,hard,leetcode,2024-09-14T07:30:00,biweekly-contest-139,45,release_v6
3580,hard,leetcode,2024-09-28T07:30:00,biweekly-contest-140,46,release_v6
3583,hard,leetcode,2024-10-05T19:30:00,weekly-contest-418,47,release_v6
3588,hard,leetcode,2024-10-12T19:30:00,weekly-contest-419,48,release_v6
3603,hard,leetcode,2024-10-19T19:30:00,weekly-contest-420,49,release_v6
3604,hard,leetcode,2024-10-12T07:30:00,biweekly-contest-141,50,release_v6
3608,hard,leetcode,2024-10-26T19:30:00,weekly-contest-421,51,release_v6
3631,hard,leetcode,2024-11-09T18:30:00,weekly-contest-423,52,release_v6
3637,hard,leetcode,2024-11-02T19:30:00,weekly-contest-422,53,release_v6
3638,hard,leetcode,2024-12-14T18:30:00,weekly-contest-428,54,release_v6
3646,hard,leetcode,2024-11-09T18:30:00,weekly-contest-423,55,release_v6
3648,hard,leetcode,2024-11-23T06:30:00,biweekly-contest-144,56,release_v6
3658,hard,leetcode,2024-11-16T18:30:00,weekly-contest-424,57,release_v6
3674,hard,leetcode,2025-01-11T18:30:00,weekly-contest-432,58,release_v6
3675,hard,leetcode,2024-11-23T18:30:00,weekly-contest-425,59,release_v6
3680,hard,leetcode,2024-12-07T06:30:00,biweekly-contest-145,60,release_v6
3682,hard,leetcode,2024-12-28T18:30:00,weekly-contest-430,61,release_v6
3687,hard,leetcode,2025-01-18T06:30:00,biweekly-contest-148,62,release_v6
3688,hard,leetcode,2025-01-04T06:30:00,biweekly-contest-147,63,release_v6
3690,hard,leetcode,2024-12-21T18:30:00,weekly-contest-429,64,release_v6
3692,hard,leetcode,2025-02-15T06:30:00,biweekly-contest-150,65,release_v6
3696,hard,leetcode,2025-02-08T18:30:00,weekly-contest-436,66,release_v6
3697,hard,leetcode,2025-02-01T18:30:00,weekly-contest-435,67,release_v6
3700,hard,leetcode,2024-12-21T06:30:00,biweekly-contest-146,68,release_v6
3701,hard,leetcode,2025-02-01T06:30:00,biweekly-contest-149,69,release_v6
3717,hard,leetcode,2025-03-29T19:30:00,weekly-contest-443,70,release_v6
3725,hard,leetcode,2025-01-18T18:30:00,weekly-contest-433,71,release_v6
3733,hard,leetcode,2025-02-15T18:30:00,weekly-contest-437,72,release_v6
3739,hard,leetcode,2025-01-18T06:30:00,biweekly-contest-148,73,release_v6
3744,hard,leetcode,2025-03-22T19:30:00,weekly-contest-442,74,release_v6
3762,hard,leetcode,2025-02-08T18:30:00,weekly-contest-436,75,release_v6
3765,hard,leetcode,2025-03-29T07:30:00,biweekly-contest-153,76,release_v6
3770,hard,leetcode,2025-03-01T18:30:00,weekly-contest-439,77,release_v6
3777,hard,leetcode,2025-04-05T19:30:00,weekly-contest-444,78,release_v6
3781,hard,leetcode,2025-02-22T18:30:00,weekly-contest-438,79,release_v6
3783,hard,leetcode,2025-03-01T06:30:00,biweekly-contest-151,80,release_v6
3784,hard,leetcode,2025-03-15T07:30:00,biweekly-contest-152,81,release_v6
3789,hard,leetcode,2025-03-08T18:30:00,weekly-contest-440,82,release_v6
3801,hard,leetcode,2025-03-15T19:30:00,weekly-contest-441,83,release_v6
abc301_e,hard,atcoder,2023-05-13T00:00:00,abc301,84,release_v6
abc302_e,hard,atcoder,2023-05-20T00:00:00,abc302,85,release_v6
abc302_f,hard,atcoder,2023-05-20T00:00:00,abc302,86,release_v6
abc304_e,hard,atcoder,2023-06-03T00:00:00,abc304,87,release_v6
abc305_e,hard,atcoder,2023-06-10T00:00:00,abc305,88,release_v6
abc306_e,hard,atcoder,2023-06-17T00:00:00,abc306,89,release_v6
abc308_f,hard,atcoder,2023-07-01T00:00:00,abc308,90,release_v6
abc309_e,hard,atcoder,2023-07-08T00:00:00,abc309,91,release_v6
abc310_e,hard,atcoder,2023-07-15T00:00:00,abc310,92,release_v6
abc310_f,hard,atcoder,2023-07-15T00:00:00,abc310,93,release_v6
abc312_e,hard,atcoder,2023-07-29T00:00:00,abc312,94,release_v6
abc312_f,hard,atcoder,2023-07-29T00:00:00,abc312,95,release_v6
abc314_e,hard,atcoder,2023-08-12T00:00:00,abc314,96,release_v6
abc315_f,hard,atcoder,2023-08-19T00:00:00,abc315,97,release_v6
abc318_e,hard,atcoder,2023-09-02T00:00:00,abc318,98,release_v6
abc319_e,hard,atcoder,2023-09-09T00:00:00,abc319,99,release_v6
abc322_e,hard,atcoder,2023-09-30T00:00:00,abc322,100,release_v6
abc323_d,hard,atcoder,2023-10-07T00:00:00,abc323,101,release_v6
abc324_d,hard,atcoder,2023-10-14T00:00:00,abc324,102,release_v6
abc324_e,hard,atcoder,2023-10-14T00:00:00,abc324,103,release_v6
abc324_f,hard,atcoder,2023-10-14T00:00:00,abc324,104,release_v6
abc325_d,hard,atcoder,2023-10-21T00:00:00,abc325,105,release_v6
abc325_e,hard,atcoder,2023-10-21T00:00:00,abc325,106,release_v6
abc325_f,hard,atcoder,2023-10-21T00:00:00,abc325,107,release_v6
abc327_e,hard,atcoder,2023-11-04T00:00:00,abc327,108,release_v6
abc328_d,hard,atcoder,2023-11-11T00:00:00,abc328,109,release_v6
abc328_e,hard,atcoder,2023-11-11T00:00:00,abc328,110,release_v6
abc330_e,hard,atcoder,2023-11-25T00:00:00,abc330,111,release_v6
abc332_d,hard,atcoder,2023-12-10T00:00:00,abc332,112,release_v6
abc334_e,hard,atcoder,2023-12-23T00:00:00,abc334,113,release_v6
abc338_f,hard,atcoder,2024-01-27T00:00:00,abc338,114,release_v6
abc340_e,hard,atcoder,2024-02-10T00:00:00,abc340,115,release_v6
abc341_f,hard,atcoder,2024-02-17T00:00:00,abc341,116,release_v6
abc342_e,hard,atcoder,2024-02-24T00:00:00,abc342,117,release_v6
abc344_d,hard,atcoder,2024-03-09T00:00:00,abc344,118,release_v6
abc345_d,hard,atcoder,2024-03-16T00:00:00,abc345,119,release_v6
abc347_e,hard,atcoder,2024-03-30T00:00:00,abc347,120,release_v6
abc348_d,hard,atcoder,2024-04-06T00:00:00,abc348,121,release_v6
abc349_d,hard,atcoder,2024-04-13T00:00:00,abc349,122,release_v6
abc350_e,hard,atcoder,2024-04-20T00:00:00,abc350,123,release_v6
abc351_d,hard,atcoder,2024-04-27T00:00:00,abc351,124,release_v6
abc351_e,hard,atcoder,2024-04-27T00:00:00,abc351,125,release_v6
abc351_f,hard,atcoder,2024-04-27T00:00:00,abc351,126,release_v6
abc353_e,hard,atcoder,2024-05-11T00:00:00,abc353,127,release_v6
abc354_d,hard,atcoder,2024-05-18T00:00:00,abc354,128,release_v6
abc354_e,hard,atcoder,2024-05-18T00:00:00,abc354,129,release_v6
abc356_e,hard,atcoder,2024-06-01T00:00:00,abc356,130,release_v6
abc357_e,hard,atcoder,2024-06-08T00:00:00,abc357,131,release_v6
abc358_e,hard,atcoder,2024-06-15T00:00:00,abc358,132,release_v6
abc359_d,hard,atcoder,2024-06-22T00:00:00,abc359,133,release_v6
abc359_e,hard,atcoder,2024-06-22T00:00:00,abc359,134,release_v6
abc361_d,hard,atcoder,2024-07-06T00:00:00,abc361,135,release_v6
abc361_f,hard,atcoder,2024-07-06T00:00:00,abc361,136,release_v6
abc362_d,hard,atcoder,2024-07-13T00:00:00,abc362,137,release_v6
abc362_e,hard,atcoder,2024-07-13T00:00:00,abc362,138,release_v6
abc363_e,hard,atcoder,2024-07-20T00:00:00,abc363,139,release_v6
abc363_f,hard,atcoder,2024-07-20T00:00:00,abc363,140,release_v6
abc364_d,hard,atcoder,2024-07-27T00:00:00,abc364,141,release_v6
abc364_e,hard,atcoder,2024-07-27T00:00:00,abc364,142,release_v6
abc364_f,hard,atcoder,2024-07-27T00:00:00,abc364,143,release_v6
abc365_e,hard,atcoder,2024-08-03T00:00:00,abc365,144,release_v6
abc366_e,hard,atcoder,2024-08-10T00:00:00,abc366,145,release_v6
abc366_f,hard,atcoder,2024-08-10T00:00:00,abc366,146,release_v6
abc366_g,hard,atcoder,2024-08-10T00:00:00,abc366,147,release_v6
abc367_e,hard,atcoder,2024-08-17T00:00:00,abc367,148,release_v6
abc367_f,hard,atcoder,2024-08-17T00:00:00,abc367,149,release_v6
abc367_g,hard,atcoder,2024-08-17T00:00:00,abc367,150,release_v6
abc368_d,hard,atcoder,2024-08-24T00:00:00,abc368,151,release_v6
abc368_e,hard,atcoder,2024-08-24T00:00:00,abc368,152,release_v6
