label,task,model_alias,from_condition,to_condition,delta_coverage,delta_coverage_ci_lo,delta_coverage_ci_hi,delta_unverified_error_rate,delta_leakage_ci_lo,delta_leakage_ci_hi,delta_unverified_errors_per_100,delta_error_catch_rate,delta_error_catch_ci_lo,delta_error_catch_ci_hi,bootstrap_n
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,displayed_0.85,-0.356,-0.398,-0.31600000000000006,0.064,0.044,0.086,6.4,-0.3764705882352941,-0.4776160862354893,-0.2763157894736842,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,displayed_0.90,-0.048000000000000015,-0.07404999999999999,-0.021999999999999992,0.017999999999999988,0.00399999999999999,0.032000000000000015,1.799999999999999,-0.10588235294117643,-0.18988848704038583,-0.022222222222222254,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,displayed_0.95,-0.036000000000000004,-0.062,-0.010000000000000009,0.01200000000000001,-0.0020000000000000018,0.027999999999999997,1.200000000000001,-0.07058823529411767,-0.1579077644606566,0.012198885877747622,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,displayed_0.99,-0.061999999999999986,-0.086,-0.04000000000000001,0.024000000000000007,0.011999999999999997,0.038000000000000006,2.400000000000001,-0.1411764705882353,-0.2222222222222222,-0.07142857142857142,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,displayed_0.99,-0.502,-0.546,-0.4580000000000001,0.11800000000000001,0.09000000000000001,0.14600000000000002,11.8,-0.6941176470588235,-0.7906976744186046,-0.5954989299090423,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,displayed_0.85,-0.124,-0.15399999999999991,-0.09400000000000008,0.012,0.004,0.022,1.2,-0.04958677685950408,-0.09174311926605505,-0.016125806451612937,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,displayed_0.90,-0.02400000000000002,-0.04399999999999993,-0.006000000000000005,0.002,-0.004,0.009999999999999998,0.2,-0.008264462809917439,-0.03731343283582089,0.018018018018018056,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,displayed_0.95,-0.13,-0.16000000000000003,-0.10199999999999998,0.01,0.002,0.019999999999999997,1.0,-0.04132231404958675,-0.07999999999999996,-0.008620689655172376,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,displayed_0.99,-0.07600000000000007,-0.10199999999999998,-0.051999999999999935,0.013999999999999999,0.004,0.024000000000000004,1.4,-0.05785123966942152,-0.10091743119266061,-0.01869158878504673,5000
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,displayed_0.99,-0.3540000000000001,-0.396,-0.31200000000000006,0.038,0.022,0.056,3.8,-0.15702479338842978,-0.22430753081403226,-0.09599999999999997,5000
