label,task,model_alias,higher_coverage_condition,lower_coverage_condition,observed_delta_leakage,random_subset_expected_delta_leakage,observed_minus_random,note
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,displayed_0.99,0.11800000000000001,0.1289383561643836,-0.010938356164383586,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,displayed_0.85,0.064,0.09143835616438357,-0.027438356164383573,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,displayed_0.90,0.017999999999999988,0.01810526315789475,-0.00010526315789476104,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,displayed_0.95,0.01200000000000001,0.013600000000000015,-0.0016000000000000042,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,displayed_0.99,0.024000000000000007,0.024111111111111125,-0.00011111111111111738,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,displayed_0.99,0.038,0.0927142857142857,-0.054714285714285694,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,displayed_0.85,0.012,0.032476190476190464,-0.020476190476190464,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,displayed_0.90,0.002,0.0069,-0.0049,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,displayed_0.95,0.01,0.038195876288659766,-0.028195876288659764,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,displayed_0.99,0.013999999999999999,0.025647058823529405,-0.011647058823529406,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,displayed_0.99,0.22027972027972026,0.2630536130536131,-0.04277389277389282,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,displayed_0.85,0.08041958041958042,0.12560217560217563,-0.04518259518259521,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,displayed_0.90,0.02447552447552448,0.0517867958812841,-0.02731127140575962,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,displayed_0.95,0.06643356643356646,0.07446257446257454,-0.008029008029008078,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,displayed_0.99,0.0489510489510489,0.04305333220995872,0.0058977167410901865,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,displayed_0.99,0.013986013986013986,0.02799656483867008,-0.014010550852656093,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,displayed_0.85,0.0034965034965034965,0.0019997546313335057,0.0014967488651699908,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,displayed_0.90,0.006993006993006994,0.0039889687777011,0.0030040382153058934,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,displayed_0.95,0.003496503496503496,0.005951495313197419,-0.0024549918166939227,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,displayed_0.99,0.0,0.015941048199112656,-0.015941048199112656,positive observed_minus_random means the lower-coverage policy leaked more than a random down-sample of the higher-coverage VERIFY set
