label,task,model_alias,subset,n,mean,sd,p05,p10,p25,p50,p75,p90,p95,iqr,frac_in_0.70_0.99,frac_0.70_0.85,frac_0.85_0.90,frac_0.90_0.95,frac_0.95_0.99,iqr_intersects_0.70_0.99
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,all,500,0.9195340000000001,0.20142292628811878,0.6270000000000002,0.83,0.96,0.99,0.99,0.99,0.99,0.030000000000000027,0.92,0.054,0.03,0.09,0.746,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,correct,415,0.932787951807229,0.18588000219714135,0.78,0.8940000000000001,0.97,0.99,0.99,0.99,0.99,0.020000000000000018,0.9228915662650602,0.033734939759036145,0.024096385542168676,0.07951807228915662,0.7855421686746988,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,incorrect,85,0.8548235294117646,0.2561603467543322,0.05600000000000001,0.708,0.85,0.97,0.99,0.99,0.99,0.14,0.9058823529411765,0.15294117647058825,0.058823529411764705,0.1411764705882353,0.5529411764705883,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,all,500,0.7388800000000001,0.1684740710769776,0.4,0.55,0.6,0.72,0.8625,0.95,0.97,0.26250000000000007,0.698,0.296,0.152,0.132,0.118,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,correct,379,0.7740369393139842,0.1469920946192499,0.55,0.6,0.7,0.8,0.9,0.95,0.97,0.20000000000000007,0.7783641160949868,0.3034300791556728,0.16886543535620052,0.15567282321899736,0.1503957783641161,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,incorrect,121,0.6287603305785122,0.18394550935867704,0.3,0.4,0.55,0.6,0.75,0.85,0.9,0.19999999999999996,0.4462809917355372,0.2727272727272727,0.09917355371900827,0.05785123966942149,0.01652892561983471,True
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,all,286,0.8342206293706294,0.35468346297265696,0.01,0.015,0.98,0.99,0.99,0.995,0.998,0.010000000000000009,0.7132867132867133,0.0,0.0,0.0,0.7132867132867133,True
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,correct,133,0.9756390977443609,0.11798262188070932,0.98,0.982,0.99,0.99,0.99,0.998,0.998,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,True
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,incorrect,153,0.7112882352941177,0.4371227027152849,0.01,0.01,0.08,0.99,0.99,0.995,0.998,0.91,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471,True
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,all,286,0.4745804195804195,0.3809853321777102,0.02,0.02,0.05,0.6,0.85,0.9,0.93,0.7999999999999999,0.42657342657342656,0.07692307692307693,0.13286713286713286,0.17832167832167833,0.038461538461538464,True
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,correct,123,0.666178861788618,0.31262642118292666,0.03200000000000001,0.1,0.525,0.85,0.9,0.93,0.95,0.375,0.6341463414634146,0.10569105691056911,0.17073170731707318,0.2845528455284553,0.07317073170731707,True
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,incorrect,163,0.32999999999999996,0.3644833990021331,0.02,0.02,0.02,0.1,0.75,0.9,0.9,0.73,0.26993865030674846,0.05521472392638037,0.10429447852760736,0.09815950920245399,0.012269938650306749,True
