task,model_alias,delta,lambda,normalized_loss,leakage_rate,verification_coverage
mmlu,openai_gpt56_sol,-1.5,0.001,0.09022999999999999,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.002,0.09046,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.005,0.09115,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.01,0.0923,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.02,0.09459999999999999,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.05,0.10149999999999999,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.1,0.113,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.2,0.136,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,0.5,0.20500000000000002,0.09,0.23
mmlu,openai_gpt56_sol,-1.5,1.0,0.32,0.09,0.23
mmlu,openai_gpt56_sol,-0.75,0.001,0.110156,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.002,0.11031200000000001,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.005,0.11078,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.01,0.11156,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.02,0.11312,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.05,0.1178,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.1,0.1256,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.2,0.1412,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,0.5,0.188,0.11,0.156
mmlu,openai_gpt56_sol,-0.75,1.0,0.266,0.11,0.156
mmlu,openai_gpt56_sol,0.0,0.001,0.120124,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.002,0.120248,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.005,0.12061999999999999,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.01,0.12124,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.02,0.12247999999999999,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.05,0.1262,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.1,0.1324,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.2,0.14479999999999998,0.12,0.124
mmlu,openai_gpt56_sol,0.0,0.5,0.182,0.12,0.124
mmlu,openai_gpt56_sol,0.0,1.0,0.244,0.12,0.124
mmlu,openai_gpt56_sol,0.75,0.001,0.14207999999999998,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.002,0.14215999999999998,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.005,0.1424,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.01,0.14279999999999998,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.02,0.14359999999999998,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.05,0.146,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.1,0.15,0.142,0.08
mmlu,openai_gpt56_sol,0.75,0.2,0.15799999999999997,0.142,0.08
