label,task,model_alias,delta,n,verification_coverage,leakage_rate
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,-1.5,500,0.23,0.09
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,-0.75,500,0.156,0.11
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,0.0,500,0.124,0.12
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,0.75,500,0.08,0.142
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,1.5,500,0.068,0.15
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,-1.5,500,0.916,0.0
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,-0.75,500,0.852,0.004
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,0.0,500,0.794,0.01
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,0.75,500,0.7,0.018
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,1.5,500,0.604,0.034
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,-1.5,286,0.26223776223776224,0.3111888111888112
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,-0.75,286,0.24475524475524477,0.32167832167832167
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,0.0,286,0.2727272727272727,0.2972027972027972
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,0.75,286,0.1958041958041958,0.35664335664335667
TASK014_RANK_PRESERVING_SHIFT,code,openai_gpt56_sol,1.5,286,0.19230769230769232,0.35664335664335667
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,-1.5,286,0.9965034965034965,0.0
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,-0.75,286,0.9825174825174825,0.0034965034965034965
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,0.0,286,0.9790209790209791,0.013986013986013986
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,0.75,286,0.9545454545454546,0.017482517482517484
TASK014_RANK_PRESERVING_SHIFT,code,anthropic_sonnet5,1.5,286,0.9440559440559441,0.013986013986013986
