label,task,model_alias,delta,n,n_q1_exact_0,n_q1_exact_1,mean,median,iqr,p05,p25,p50,p75,p95,min,max,frac_ge_0.90,frac_ge_0.95,frac_ge_0.99,frac_le_0.70,spearman_q1,kendall_tau_q1,pairwise_order_preserved,n_new_ties_from_render,frac_new_ties_from_render,n_order_reversals,brier,ece,auroc_q_delta,auroc_q1,n_rendered_distinct,n_q1_rendered_distinct
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,-1.5,500,0,0,0.8353541102259053,0.9566909942174234,0.11404434005552089,0.2729695707683497,0.8426466541619025,0.9566909942174234,0.9566909942174234,0.9566909942174234,0.0002233036380099286,0.9955338606382643,0.656,0.518,0.028,0.152,1.0,0.9999999999999998,1.0,0,0.0,0,0.15554115981967426,0.0847511419797248,0.6713678242381291,0.6713678242381291,35,35
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,-0.75,500,0,0,0.8870220320636105,0.9790638565595808,0.06012217165189926,0.442732687344479,0.9189416849076816,0.9790638565595808,0.9790638565595808,0.9790638565595808,0.00047261592070848744,0.9978853620340306,0.764,0.656,0.028,0.102,1.0,0.9999999999999998,1.0,0,0.0,0,0.16024083459121333,0.12409063019143673,0.6713678242381291,0.6713678242381291,35,35
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,0.0,500,0,0,0.9195340000000001,0.99,0.030000000000000027,0.6270000000000002,0.96,0.99,0.99,0.99,0.001,0.999,0.864,0.774,0.518,0.054,1.0,0.9999999999999998,1.0,0,0.0,0,0.16760482999999998,0.1515300000000001,0.6713678242381291,0.6713678242381291,35,35
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,0.75,500,0,0,0.9393526869283525,0.9952512786303263,0.014553316777025538,0.7805492774855324,0.9806979618533007,0.9952512786303263,0.9952512786303263,0.9952512786303263,0.002114637965969556,0.9995273840792915,0.916,0.864,0.656,0.048,1.0,0.9999999999999998,1.0,0,0.0,0,0.17290514537225998,0.16753627668246357,0.6713678242381291,0.6713678242381291,35,35
TASK014_RANK_PRESERVING_SHIFT,mmlu,openai_gpt56_sol,1.5,500,0,0,0.9519828756370378,0.9977512283699548,0.0069626786933948415,0.8827277036568774,0.9907885496765599,0.9977512283699548,0.9977512283699548,0.9977512283699548,0.004466139361735701,0.9997766963619902,0.948,0.916,0.764,0.046,1.0,0.9999999999999998,1.0,0,0.0,0,0.17493853794390624,0.17384532840587208,0.6713678242381291,0.6713678242381291,35,35
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,-1.5,500,0,0,0.45033583762289287,0.3645804170628424,0.3349147974287964,0.12949118140280796,0.25076529093399114,0.3645804170628424,0.5856800883627875,0.8782646654075883,0.011607379146347465,0.9566909942174234,0.02,0.004,0.0,0.866,1.0,1.0,1.0,0,0.0,0,0.2626565594884836,0.30766416237708555,0.730194727316339,0.730194727316339,23,23
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,-0.75,500,0,0,0.6014563198572251,0.5484627787629106,0.3336995704257106,0.23949227494481842,0.41470831990892604,0.5484627787629106,0.7484078903346366,0.9385492153266495,0.024258302218254126,0.9790638565595808,0.054,0.02,0.0,0.598,1.0,1.0,1.0,0,0.0,0,0.18727114041515022,0.156840184750909,0.730194727316339,0.730194727316339,23,23
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,0.0,500,0,0,0.7388800000000001,0.72,0.26250000000000007,0.4,0.6,0.72,0.8625,0.97,0.05,0.99,0.25,0.118,0.004,0.348,1.0,1.0,1.0,0,0.0,0,0.1588304,0.03372000000000004,0.730194727316339,0.730194727316339,23,23
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,0.75,500,0,0,0.8445032184533822,0.8448100041326249,0.1693167284339936,0.5852916800910739,0.7605077250551816,0.8448100041326249,0.9298244534891752,0.9856010829099389,0.100250983328467,0.9952512786303263,0.402,0.25,0.02,0.094,1.0,1.0,1.0,0,0.0,0,0.16690167578211124,0.086503218453516,0.730194727316339,0.730194727316339,23,23
TASK014_RANK_PRESERVING_SHIFT,mmlu,anthropic_sonnet5,1.5,500,0,0,0.9142911165181533,0.9201554944517072,0.0950299279743334,0.7492347090660089,0.8705088185971921,0.9201554944517072,0.9655387465715255,0.9931463636953963,0.19085888825601174,0.9977512283699548,0.698,0.402,0.054,0.022,1.0,1.0,1.0,0,0.0,0,0.18922832391706323,0.15629111651813202,0.730194727316339,0.730194727316339,23,23
