label,task,model_alias,delta,lambda,loss_delta,loss_delta0,pass_through_regret,zero_crossing_lambda,positive_regret_lambda_interval,negative_regret_lambda_interval,worst_positive_regret_on_grid,best_improvement_on_grid
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.001,0.09022999999999999,0.120124,-0.029894000000000004,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.002,0.09046,0.120248,-0.029787999999999995,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.005,0.09115,0.12061999999999999,-0.029469999999999996,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.01,0.0923,0.12124,-0.028940000000000007,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.02,0.09459999999999999,0.12247999999999999,-0.027880000000000002,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.05,0.10149999999999999,0.1262,-0.024700000000000014,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.1,0.113,0.1324,-0.019399999999999987,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.2,0.136,0.14479999999999998,-0.008799999999999975,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,0.5,0.20500000000000002,0.182,0.02300000000000002,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,1.0,0.32,0.244,0.07600000000000001,0.28301886792452824,"(0.283019, inf)","(0, 0.283019)",0.07600000000000001,-0.029894000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.001,0.110156,0.120124,-0.00996799999999999,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.002,0.11031200000000001,0.120248,-0.009935999999999987,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.005,0.11078,0.12061999999999999,-0.009839999999999988,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.01,0.11156,0.12124,-0.009679999999999994,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.02,0.11312,0.12247999999999999,-0.009359999999999993,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.05,0.1178,0.1262,-0.008400000000000005,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.1,0.1256,0.1324,-0.0068000000000000005,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.2,0.1412,0.14479999999999998,-0.003599999999999992,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,0.5,0.188,0.182,0.006000000000000005,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,1.0,0.266,0.244,0.02200000000000002,0.31249999999999983,"(0.3125, inf)","(0, 0.3125)",0.02200000000000002,-0.00996799999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.001,0.120124,0.120124,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.002,0.120248,0.120248,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.005,0.12061999999999999,0.12061999999999999,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.01,0.12124,0.12124,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.02,0.12247999999999999,0.12247999999999999,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.05,0.1262,0.1262,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.1,0.1324,0.1324,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.2,0.14479999999999998,0.14479999999999998,0.0,,,,,
