label,benchmark,task,model_alias,method,lambda,n,error_rate,mean_rhat,verification_coverage,leakage_rate,normalized_loss,fold_design,delta_invariant
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.001,500,0.17,0.17033583959899748,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.002,500,0.17,0.17033583959899748,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.005,500,0.17,0.17033583959899748,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.01,500,0.17,0.17033583959899748,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.02,500,0.17,0.17033583959899748,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.05,500,0.17,0.17033583959899748,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.1,500,0.17,0.17033583959899748,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.2,500,0.17,0.17033583959899748,0.0,0.17,0.17,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,0.5,500,0.17,0.17033583959899748,0.0,0.17,0.17,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,isotonic,1.0,500,0.17,0.17033583959899748,0.0,0.17,0.17,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.001,500,0.17,0.1699501670804418,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.002,500,0.17,0.1699501670804418,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.005,500,0.17,0.1699501670804418,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.01,500,0.17,0.1699501670804418,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.02,500,0.17,0.1699501670804418,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.05,500,0.17,0.1699501670804418,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.1,500,0.17,0.1699501670804418,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.2,500,0.17,0.1699501670804418,0.068,0.148,0.1616,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,0.5,500,0.17,0.1699501670804418,0.01,0.17,0.17500000000000002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,openai_gpt56_sol,logistic,1.0,500,0.17,0.1699501670804418,0.0,0.17,0.17,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.001,500,0.242,0.24200000000000002,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.002,500,0.242,0.24200000000000002,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.005,500,0.242,0.24200000000000002,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.01,500,0.242,0.24200000000000002,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.02,500,0.242,0.24200000000000002,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.05,500,0.242,0.24200000000000002,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.1,500,0.242,0.24200000000000002,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.2,500,0.242,0.24200000000000002,1.0,0.0,0.2,5-fold OOF KFold shuffle seed=20260928,True
