label,task,model_alias,lambda,delta,normalized_loss,best_observed_loss,regret_vs_best_observed,sensitivity_cost_spread,best_delta,worst_delta
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.001,-1.5,0.09022999999999999,0.09022999999999999,0.0,0.059838000000000016,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.001,-0.75,0.110156,0.09022999999999999,0.019926000000000013,0.059838000000000016,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.001,0.0,0.120124,0.09022999999999999,0.029894000000000004,0.059838000000000016,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.001,0.75,0.14207999999999998,0.09022999999999999,0.05184999999999999,0.059838000000000016,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.001,1.5,0.150068,0.09022999999999999,0.059838000000000016,0.059838000000000016,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.002,-1.5,0.09046,0.09046,0.0,0.05967599999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.002,-0.75,0.11031200000000001,0.09046,0.01985200000000001,0.05967599999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.002,0.0,0.120248,0.09046,0.029787999999999995,0.05967599999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.002,0.75,0.14215999999999998,0.09046,0.05169999999999998,0.05967599999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.002,1.5,0.150136,0.09046,0.05967599999999999,0.05967599999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.005,-1.5,0.09115,0.09115,0.0,0.059190000000000006,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.005,-0.75,0.11078,0.09115,0.01963000000000001,0.059190000000000006,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.005,0.0,0.12061999999999999,0.09115,0.029469999999999996,0.059190000000000006,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.005,0.75,0.1424,0.09115,0.051250000000000004,0.059190000000000006,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.005,1.5,0.15034,0.09115,0.059190000000000006,0.059190000000000006,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.01,-1.5,0.0923,0.0923,0.0,0.05837999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.01,-0.75,0.11156,0.0923,0.019260000000000013,0.05837999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.01,0.0,0.12124,0.0923,0.028940000000000007,0.05837999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.01,0.75,0.14279999999999998,0.0923,0.05049999999999999,0.05837999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.01,1.5,0.15067999999999998,0.0923,0.05837999999999999,0.05837999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.02,-1.5,0.09459999999999999,0.09459999999999999,0.0,0.056760000000000005,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.02,-0.75,0.11312,0.09459999999999999,0.01852000000000001,0.056760000000000005,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.02,0.0,0.12247999999999999,0.09459999999999999,0.027880000000000002,0.056760000000000005,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.02,0.75,0.14359999999999998,0.09459999999999999,0.04899999999999999,0.056760000000000005,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.02,1.5,0.15136,0.09459999999999999,0.056760000000000005,0.056760000000000005,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.05,-1.5,0.10149999999999999,0.10149999999999999,0.0,0.05189999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.05,-0.75,0.1178,0.10149999999999999,0.01630000000000001,0.05189999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.05,0.0,0.1262,0.10149999999999999,0.024700000000000014,0.05189999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.05,0.75,0.146,0.10149999999999999,0.0445,0.05189999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.05,1.5,0.15339999999999998,0.10149999999999999,0.05189999999999999,0.05189999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.1,-1.5,0.113,0.113,0.0,0.04379999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.1,-0.75,0.1256,0.113,0.012599999999999986,0.04379999999999999,-1.5,1.5
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.1,0.0,0.1324,0.113,0.019399999999999987,0.04379999999999999,-1.5,1.5
