model_id,decision_owner,error_cost,bin_type,bin_label,q_value,n,n_verify,n_use,error_rate_verify,error_rate_use,error_rate_diff_verify_minus_use
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.55,0.55,28,22,6,0.36363636363636365,0.5,-0.13636363636363635
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.6,0.6,69,61,8,0.39344262295081966,0.125,0.26844262295081966
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.65,0.65,13,8,5,0.625,0.0,0.625
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.7,0.7,22,17,5,0.29411764705882354,0.2,0.09411764705882353
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.72,0.72,67,38,29,0.3684210526315789,0.10344827586206896,0.26497277676951
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.75,0.75,33,14,19,0.35714285714285715,0.05263157894736842,0.30451127819548873
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.8,0.8,14,5,9,0.6,0.1111111111111111,0.4888888888888889
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.85,0.85,81,30,51,0.4,0.09803921568627451,0.3019607843137255
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.9,0.9,41,10,31,0.4,0.06451612903225806,0.33548387096774196
anthropic_sonnet5,ai_system,2.0,exact_q,q=0.95,0.95,38,4,34,0.0,0.029411764705882353,-0.029411764705882353
anthropic_sonnet5,ai_system,2.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,132,14,0.4772727272727273,0.2857142857142857,0.1915584415584416
anthropic_sonnet5,ai_system,2.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,63,40,0.38095238095238093,0.1,0.28095238095238095
anthropic_sonnet5,ai_system,2.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,49,79,0.40816326530612246,0.08860759493670886,0.31955567036941357
anthropic_sonnet5,ai_system,2.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,10,32,0.4,0.0625,0.3375
anthropic_sonnet5,ai_system,2.0,quantile,"(0.9, 0.99]",0.952716049382716,81,4,77,0.0,0.012987012987012988,-0.012987012987012988
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.55,0.55,28,23,5,0.34782608695652173,0.6,-0.25217391304347825
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.6,0.6,69,63,6,0.38095238095238093,0.16666666666666666,0.21428571428571427
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.65,0.65,13,9,4,0.5555555555555556,0.0,0.5555555555555556
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.7,0.7,22,18,4,0.2777777777777778,0.25,0.02777777777777779
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.72,0.72,67,47,20,0.3191489361702128,0.1,0.21914893617021278
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.75,0.75,33,14,19,0.35714285714285715,0.05263157894736842,0.30451127819548873
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.8,0.8,14,8,6,0.375,0.16666666666666666,0.20833333333333334
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.85,0.85,81,33,48,0.42424242424242425,0.0625,0.36174242424242425
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.9,0.9,41,11,30,0.36363636363636365,0.06666666666666667,0.296969696969697
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.95,0.95,38,4,34,0.0,0.029411764705882353,-0.029411764705882353
anthropic_sonnet5,ai_system,5.0,exact_q,q=0.97,0.97,18,1,17,0.0,0.0,0.0
anthropic_sonnet5,ai_system,5.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,135,11,0.4666666666666667,0.36363636363636365,0.10303030303030303
anthropic_sonnet5,ai_system,5.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,74,29,0.33783783783783783,0.10344827586206896,0.23438956197576888
anthropic_sonnet5,ai_system,5.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,55,73,0.4,0.0684931506849315,0.3315068493150685
